time (unix)	dt (s)	p (Pa)
1616520944.854	1.614	2498.78
1616520949.861	1.615	2498.11
1616520954.851	1.614	2496.58
1616520959.857	1.614	2495.34
1616520964.848	1.614	2494.10
1616520969.846	1.607	2493.12
1616520974.860	1.613	2492.12
1616520979.849	1.614	2491.23
1616520984.846	1.606	2490.01
1616520989.859	1.615	2488.95
1616520994.842	1.606	2488.19
1616520999.856	1.614	2486.69
1616521004.838	1.606	2485.49
1616521009.852	1.614	2484.53
1616521014.857	1.614	2483.08
1616521019.847	1.614	2482.14
1616521024.854	1.614	2480.93
1616521029.852	1.606	2480.04
1616521034.842	1.606	2478.87
1616521039.847	1.606	2477.86
1616521044.854	1.606	2476.57
1616521049.843	1.606	2475.49
1616521054.849	1.606	2474.62
1616521059.863	1.614	2473.57
1616521064.844	1.606	2472.34
1616521069.857	1.614	2471.41
1616521074.841	1.606	2470.68
1616521079.855	1.614	2469.80
1616521084.860	1.614	2468.62
1616521089.850	1.614	2467.60
1616521094.847	1.606	2466.62
1616521099.853	1.606	2465.34
1616521104.843	1.606	2464.31
1616521109.849	1.606	2463.47
1616521114.863	1.614	2462.73
1616521119.846	1.606	2461.57
1616521124.851	1.606	2460.26
1616521129.840	1.607	2458.99
1616521134.854	1.615	2457.92
1616521139.860	1.614	2457.06
1616521144.850	1.614	2455.27
1616521149.855	1.614	2454.40
1616521154.853	1.606	2453.44
1616521159.852	1.614	2451.98
1616521164.849	1.606	2450.86
1616521169.839	1.606	2450.09
1616521174.846	1.606	2449.00
1616521179.852	1.606	2448.16
1616521184.842	1.606	2447.37
1616521189.848	1.606	2446.46
1616521194.862	1.614	2445.46
1616521199.843	1.607	2444.52
1616521204.860	1.614	2443.61
1616521209.841	1.606	2442.54
1616521214.854	1.614	2441.23
1616521219.852	1.607	2440.23
1616521224.850	1.614	2438.87
1616521229.855	1.614	2437.47
1616521234.853	1.606	2436.43
1616521239.851	1.614	2434.98
1616521244.848	1.606	2433.75
1616521249.861	1.614	2432.56
1616521254.844	1.607	2431.38
1616521259.858	1.614	2430.77
1616521264.839	1.606	2430.12
1616521269.853	1.614	2429.20
1616521274.859	1.614	2428.12
1616521279.849	1.614	2427.05
1616521284.846	1.607	2425.99
1616521289.876	1.614	2424.91
1616521294.840	1.606	2423.82
1616521299.854	1.614	2422.85
1616521304.862	1.615	2421.81
1616521309.844	1.606	2420.33
1616521314.858	1.614	2419.20
1616521319.840	1.606	2417.97
1616521324.853	1.615	2416.91
1616521329.860	1.615	2416.11
1616521334.851	1.614	2415.06
1616521339.857	1.614	2413.85
1616521344.846	1.614	2412.77
1616521349.851	1.614	2411.66
1616521354.849	1.606	2410.82
1616521359.848	1.614	2410.04
1616521364.845	1.606	2409.43
1616521369.876	1.614	2408.60
1616521374.841	1.606	2407.69
1616521379.847	1.606	2406.85
1616521384.861	1.614	2405.74
1616521389.843	1.607	2404.54
1616521394.857	1.614	2403.34
1616521399.839	1.606	2401.96
1616521404.852	1.614	2400.90
1616521409.850	1.606	2400.06
1616521414.848	1.615	2399.01
1616521419.855	1.614	2397.87
1616521424.851	1.607	2396.68
1616521429.841	1.607	2395.56
1616521434.848	1.606	2394.53
1616521439.861	1.614	2393.15
1616521444.843	1.606	2391.59
1616521449.857	1.614	2390.47
1616521454.840	1.606	2389.41
1616521459.852	1.614	2388.54
1616521464.866	1.607	2387.70
1616521469.849	1.614	2386.80
1616521474.854	1.614	2385.80
1616521479.851	1.607	2385.09
1616521484.840	1.606	2383.94
1616521489.846	1.606	2382.70
1616521494.860	1.614	2380.95
1616521499.843	1.607	2379.99
1616521504.850	1.606	2379.14
1616521509.839	1.606	2378.13
1616521514.845	1.607	2377.14
1616521519.868	1.607	2376.18
1616521524.849	1.614	2375.11
1616521529.855	1.614	2373.62
1616521534.852	1.606	2372.80
1616521539.850	1.614	2371.56
1616521544.848	1.606	2370.44
1616521549.854	1.606	2369.58
1616521554.844	1.606	2368.80
1616521559.850	1.606	2367.93
1616521564.840	1.606	2366.59
1616521569.846	1.606	2365.37
1616521574.860	1.614	2364.09
1616521579.849	1.614	2363.16
1616521584.855	1.615	2362.32
1616521589.861	1.614	2360.84
1616521594.851	1.614	2360.00
1616521599.857	1.614	2358.95
1616521604.846	1.615	2357.89
1616521609.844	1.606	2356.56
1616521614.850	1.607	2355.51
1616521619.840	1.606	2354.22
1616521624.845	1.607	2353.13
1616521629.867	1.606	2352.16
1616521634.841	1.607	2350.78
1616521639.854	1.614	2349.82
1616521644.852	1.607	2349.14
1616521649.851	1.614	2348.13
1616521654.856	1.614	2347.15
1616521659.847	1.614	2345.96
1616521664.844	1.607	2344.77
1616521669.849	1.606	2344.00
1616521674.839	1.607	2343.16
1616521679.846	1.606	2341.96
1616521684.875	1.614	2340.64
1616521689.841	1.606	2339.36
1616521694.856	1.615	2338.47
1616521699.838	1.606	2337.55
1616521704.852	1.614	2336.83
1616521709.858	1.614	2335.95
1616521714.847	1.615	2334.56
1616521719.854	1.614	2333.40
1616521724.851	1.606	2332.24
1616521729.849	1.614	2331.28
1616521734.847	1.606	2329.64
1616521739.853	1.607	2328.63
1616521744.843	1.606	2327.44
1616521749.848	1.607	2326.27
1616521754.862	1.614	2325.05
1616521759.844	1.606	2324.21
1616521764.858	1.615	2323.32
1616521769.841	1.607	2322.43
1616521774.855	1.614	2321.61
1616521779.860	1.615	2320.25
1616521784.850	1.614	2319.11
1616521789.848	1.607	2318.22
1616521794.853	1.607	2317.09
1616521799.842	1.606	2315.73
1616521804.849	1.606	2314.45
1616521809.863	1.614	2313.39
1616521814.846	1.606	2312.37
1616521819.852	1.606	2311.42
1616521824.842	1.606	2310.27
1616521829.849	1.606	2308.50
1616521834.838	1.606	2307.58
1616521839.845	1.606	2306.58
1616521844.858	1.615	2305.49
1616521849.848	1.615	2304.57
1616521854.855	1.615	2303.78
1616521859.860	1.614	2302.99
1616521864.850	1.614	2301.61
1616521869.848	1.606	2300.43
1616521874.854	1.606	2299.31
1616521879.844	1.606	2297.86
1616521884.848	1.607	2296.88
1616521889.861	1.614	2295.69
1616521894.851	1.615	2294.27
1616521899.856	1.614	2293.59
1616521904.846	1.615	2292.83
1616521909.851	1.615	2291.94
1616521914.849	1.607	2291.19
1616521919.848	1.614	2290.21
1616521924.846	1.606	2289.14
1616521929.851	1.606	2287.83
1616521934.841	1.606	2286.67
1616521939.847	1.606	2285.07
1616521944.860	1.615	2284.00
1616521949.850	1.614	2283.06
1616521954.857	1.614	2281.88
1616521959.846	1.614	2280.75
1616521964.842	1.607	2279.68
1616521969.848	1.606	2278.74
1616521974.861	1.615	2277.42
1616521979.842	1.606	2276.27
1616521984.856	1.614	2275.15
1616521989.853	1.607	2274.12
1616521994.850	1.614	2273.09
1616521999.847	1.606	2271.89
1616522004.855	1.606	2271.01
1616522009.844	1.606	2270.07
1616522014.849	1.606	2268.84
1616522019.839	1.606	2267.46
1616522024.845	1.607	2266.57
1616522029.866	1.606	2265.80
1616522034.847	1.614	2264.70
1616522039.853	1.614	2263.50
1616522044.850	1.607	2262.37
1616522049.840	1.606	2261.26
1616522054.845	1.607	2260.52
1616522059.866	1.606	2259.60
1616522064.840	1.606	2258.79
1616522069.853	1.614	2257.87
1616522074.851	1.606	2256.68
1616522079.850	1.615	2255.23
1616522084.846	1.607	2254.16
1616522089.852	1.606	2253.23
1616522094.842	1.606	2252.17
1616522099.848	1.606	2250.95
1616522104.861	1.614	2249.76
1616522109.851	1.615	2249.03
1616522114.856	1.614	2247.88
1616522119.846	1.614	2246.61
1616522124.851	1.614	2245.12
1616522129.848	1.606	2243.97
1616522134.862	1.614	2243.48
1616522139.842	1.606	2241.99
1616522144.855	1.615	2240.59
1616522149.853	1.606	2239.33
1616522154.851	1.614	2238.43
1616522159.849	1.606	2237.51
1616522164.847	1.615	2236.26
1616522169.845	1.606	2235.50
1616522174.875	1.614	2234.84
1616522179.840	1.606	2233.31
1616522184.847	1.607	2231.99
1616522189.860	1.614	2231.07
1616522194.841	1.606	2230.14
1616522199.856	1.614	2229.15
1616522204.862	1.614	2228.15
1616522209.853	1.614	2226.87
1616522214.859	1.614	2225.59
1616522219.848	1.615	2224.76
1616522224.853	1.615	2223.84
1616522229.852	1.606	2222.82
1616522234.842	1.606	2221.80
1616522239.847	1.607	2221.00
1616522244.852	1.607	2220.25
1616522249.843	1.606	2218.99
1616522254.855	1.614	2217.90
1616522259.860	1.615	2216.96
1616522264.850	1.615	2215.74
1616522269.847	1.606	2214.41
1616522274.854	1.607	2213.35
1616522279.844	1.606	2212.51
1616522284.849	1.606	2211.45
1616522289.862	1.614	2210.77
1616522294.845	1.606	2209.50
1616522299.866	1.606	2207.91
1616522304.840	1.607	2206.98
1616522309.853	1.614	2206.18
1616522314.867	1.606	2204.73
1616522319.839	1.607	2203.24
1616522324.845	1.606	2202.11
1616522329.852	1.606	2201.45
1616522334.841	1.607	2200.55
1616522339.855	1.614	2199.42
1616522344.861	1.614	2198.63
1616522349.849	1.614	2197.39
1616522354.855	1.614	2196.23
1616522359.846	1.614	2195.07
1616522364.843	1.607	2193.60
1616522369.849	1.606	2192.53
1616522374.854	1.606	2191.62
1616522379.844	1.606	2190.62
1616522384.857	1.614	2189.56
1616522389.839	1.606	2188.30
1616522394.852	1.614	2187.24
1616522399.864	1.607	2186.35
1616522404.846	1.615	2185.61
1616522409.844	1.606	2184.92
1616522414.850	1.606	2183.53
1616522419.840	1.607	2182.04
1616522424.846	1.606	2181.27
1616522429.860	1.614	2180.33
1616522434.843	1.607	2179.31
1616522439.856	1.614	2178.35
1616522444.862	1.614	2177.18
1616522449.851	1.614	2176.18
1616522454.848	1.607	2175.16
1616522459.855	1.607	2174.12
1616522464.844	1.606	2172.55
1616522469.850	1.607	2171.75
1616522474.838	1.606	2170.82
1616522479.852	1.614	2169.72
1616522484.858	1.614	2168.66
1616522489.847	1.614	2167.63
1616522494.843	1.606	2166.58
1616522499.851	1.606	2165.01
1616522504.840	1.606	2164.57
1616522509.846	1.606	2163.11
1616522514.860	1.614	2161.39
1616522519.842	1.606	2160.49
1616522524.855	1.615	2159.81
1616522529.861	1.615	2158.56
1616522534.851	1.614	2157.66
1616522539.857	1.614	2156.83
1616522544.847	1.614	2155.61
1616522549.853	1.614	2154.58
1616522554.851	1.606	2153.58
1616522559.849	1.614	2152.04
1616522564.848	1.606	2151.12
1616522569.852	1.606	2150.38
1616522574.842	1.606	2149.36
1616522579.849	1.606	2148.09
1616522584.862	1.614	2147.23
1616522589.844	1.606	2145.74
1616522594.858	1.614	2144.52
1616522599.841	1.607	2143.57
1616522604.856	1.614	2143.05
1616522609.861	1.614	2141.74
1616522614.852	1.614	2140.68
1616522619.857	1.614	2139.34
1616522624.848	1.614	2138.49
1616522629.854	1.614	2137.40
1616522634.851	1.606	2136.37
1616522639.850	1.614	2135.48
1616522644.857	1.614	2134.73
1616522649.847	1.614	2133.41
1616522654.854	1.615	2132.41
1616522659.851	1.607	2130.80
1616522664.849	1.614	2129.65
1616522669.846	1.606	2128.69
1616522674.852	1.607	2127.68
1616522679.843	1.606	2126.68
1616522684.848	1.607	2125.75
1616522689.861	1.615	2124.80
1616522694.850	1.615	2123.56
1616522699.847	1.607	2122.11
1616522704.853	1.607	2120.80
1616522709.843	1.607	2119.67
1616522714.849	1.607	2118.93
1616522719.839	1.607	2117.90
1616522724.845	1.607	2116.67
1616522729.866	1.606	2115.53
1616522734.840	1.606	2114.53
1616522739.854	1.614	2113.88
1616522744.860	1.615	2113.06
1616522749.850	1.614	2112.15
1616522754.857	1.614	2111.00
1616522759.847	1.614	2109.63
1616522764.852	1.615	2108.33
1616522769.851	1.607	2107.24
1616522774.849	1.615	2106.45
1616522779.848	1.606	2105.62
1616522784.854	1.607	2104.38
1616522789.843	1.606	2103.12
1616522794.848	1.607	2102.14
1616522799.861	1.615	2101.06
1616522804.843	1.607	2099.42
1616522809.856	1.615	2098.36
1616522814.847	1.616	2097.40
1616522819.852	1.615	2096.29
1616522824.866	1.606	2095.28
1616522829.848	1.615	2094.25
1616522834.846	1.607	2092.85
1616522839.853	1.607	2091.56
1616522844.842	1.607	2090.12
1616522849.848	1.606	2088.95
1616522854.862	1.615	2087.81
1616522859.844	1.607	2086.88
1616522864.857	1.614	2086.03
1616522869.840	1.607	2084.98
1616522874.854	1.614	2083.89
1616522879.860	1.615	2082.90
1616522884.851	1.615	2081.69
1616522889.857	1.614	2080.69
1616522894.847	1.615	2079.91
1616522899.852	1.614	2078.32
1616522904.851	1.607	2077.32
1616522909.848	1.615	2076.61
1616522914.848	1.608	2075.59
1616522919.853	1.606	2074.46
1616522924.842	1.607	2073.58
1616522929.848	1.606	2072.48
1616522934.862	1.615	2071.64
1616522939.843	1.606	2070.52
1616522944.856	1.615	2069.62
1616522949.847	1.614	2068.16
1616522954.852	1.614	2066.98
1616522959.850	1.607	2065.98
1616522964.848	1.615	2064.78
1616522969.845	1.607	2064.12
1616522974.852	1.606	2063.18
1616522979.841	1.606	2062.26
1616522984.847	1.606	2061.61
1616522989.860	1.615	2060.50
1616522994.850	1.615	2059.85
1616522999.858	1.614	2057.96
1616523004.839	1.606	2056.71
1616523009.852	1.615	2055.84
1616523014.858	1.614	2054.75
1616523019.847	1.615	2053.78
1616523024.844	1.606	2052.79
1616523029.850	1.606	2051.83
1616523034.839	1.607	2050.87
1616523039.852	1.615	2049.74
1616523044.858	1.615	2048.71
1616523049.848	1.615	2046.95
1616523054.844	1.607	2045.83
1616523059.851	1.606	2044.81
1616523064.842	1.608	2043.81
1616523069.847	1.606	2042.80
1616523074.853	1.607	2041.86
1616523079.842	1.607	2040.52
1616523084.848	1.607	2039.10
1616523089.862	1.615	2038.32
1616523094.852	1.615	2037.09
1616523099.857	1.615	2036.01
1616523104.848	1.615	2035.03
1616523109.853	1.615	2033.95
1616523114.851	1.607	2032.97
1616523119.839	1.607	2031.28
1616523124.846	1.607	2030.21
1616523129.853	1.606	2029.48
1616523134.843	1.606	2028.67
1616523139.848	1.607	2027.84
1616523144.837	1.606	2026.70
1616523149.851	1.614	2025.63
1616523154.857	1.614	2024.63
1616523159.847	1.614	2023.59
1616523164.852	1.615	2022.30
1616523169.874	1.614	2021.33
1616523174.848	1.614	2020.39
1616523179.846	1.607	2019.41
1616523184.853	1.607	2018.36
1616523189.842	1.606	2017.26
1616523194.848	1.606	2015.84
1616523199.861	1.615	2014.85
1616523204.852	1.614	2013.97
1616523209.857	1.615	2013.04
1616523214.847	1.614	2011.63
1616523219.852	1.614	2010.69
1616523224.873	1.614	2009.79
1616523229.839	1.607	2008.64
1616523234.846	1.607	2007.57
1616523239.851	1.607	2006.44
1616523244.840	1.606	2005.20
1616523249.854	1.614	2004.12
1616523254.860	1.614	2003.11
1616523259.850	1.614	2002.07
1616523264.846	1.607	2000.93
1616523269.852	1.606	1999.81
1616523274.841	1.606	1998.85
1616523279.847	1.607	1997.80
1616523284.859	1.615	1996.73
1616523289.848	1.614	1995.11
1616523294.854	1.614	1994.00
1616523299.851	1.607	1992.89
1616523304.841	1.606	1992.01
1616523309.846	1.607	1991.04
1616523314.860	1.614	1990.04
1616523319.841	1.606	1988.86
1616523324.854	1.615	1987.58
1616523329.852	1.606	1986.63
1616523334.849	1.615	1985.22
1616523339.847	1.606	1983.98
1616523344.852	1.606	1982.95
1616523349.841	1.606	1981.94
1616523354.848	1.606	1980.99
1616523359.862	1.614	1979.83
1616523364.852	1.614	1978.73
1616523369.858	1.614	1977.60
1616523374.848	1.614	1976.62
1616523379.853	1.614	1975.72
1616523384.851	1.606	1974.37
1616523389.849	1.614	1973.28
1616523394.846	1.607	1972.36
1616523399.852	1.606	1971.26
1616523404.841	1.606	1970.34
1616523409.848	1.606	1969.20
1616523414.861	1.615	1968.25
1616523419.843	1.606	1967.35
1616523424.856	1.615	1966.25
1616523429.846	1.614	1965.43
1616523434.843	1.606	1964.04
1616523439.849	1.607	1962.49
1616523444.854	1.607	1961.56
1616523449.845	1.606	1960.46
1616523454.875	1.614	1959.19
1616523459.841	1.606	1958.15
1616523464.853	1.615	1956.94
1616523469.859	1.615	1955.69
1616523474.849	1.615	1954.69
1616523479.858	1.615	1953.29
1616523484.839	1.607	1952.40
1616523489.853	1.614	1951.22
1616523494.859	1.614	1950.21
1616523499.849	1.615	1949.16
1616523504.847	1.606	1948.30
1616523509.854	1.606	1947.44
1616523514.842	1.607	1946.40
1616523519.848	1.607	1945.42
1616523524.861	1.615	1944.20
1616523529.843	1.606	1942.89
1616523534.856	1.615	1941.77
1616523539.853	1.606	1940.99
1616523544.851	1.614	1940.20
1616523549.849	1.606	1938.94
1616523554.855	1.607	1937.78
1616523559.844	1.606	1936.74
1616523564.850	1.606	1935.77
1616523569.839	1.607	1934.92
1616523574.846	1.607	1933.94
1616523579.859	1.614	1932.26
1616523584.842	1.606	1931.08
1616523589.857	1.614	1929.77
1616523594.846	1.614	1928.81
1616523599.851	1.615	1927.87
1616523604.866	1.606	1927.03
1616523609.847	1.615	1925.84
1616523614.844	1.607	1924.54
1616523619.875	1.614	1923.46
1616523624.841	1.606	1921.94
1616523629.846	1.607	1920.52
1616523634.860	1.615	1919.44
1616523639.843	1.606	1918.18
1616523644.856	1.615	1917.29
1616523649.862	1.614	1916.68
1616523654.853	1.615	1915.80
1616523659.858	1.615	1914.83
1616523664.849	1.615	1913.66
1616523669.855	1.614	1912.21
1616523674.852	1.607	1911.22
1616523679.841	1.607	1910.15
1616523684.847	1.607	1909.09
1616523689.852	1.607	1908.01
1616523694.843	1.606	1907.20
1616523699.848	1.607	1906.40
1616523704.838	1.607	1905.58
1616523709.852	1.614	1904.39
1616523714.849	1.607	1903.36
1616523719.846	1.614	1902.08
1616523724.843	1.606	1901.00
1616523729.850	1.607	1900.18
1616523734.840	1.606	1899.22
1616523739.845	1.606	1897.95
1616523744.866	1.607	1897.02
1616523749.841	1.607	1895.71
1616523754.855	1.614	1894.48
1616523759.861	1.614	1893.38
1616523764.850	1.615	1892.51
1616523769.848	1.607	1890.90
1616523774.854	1.606	1890.06
1616523779.843	1.606	1889.04
1616523784.848	1.606	1888.24
1616523789.838	1.607	1887.17
1616523794.843	1.607	1885.59
1616523799.857	1.614	1884.48
1616523804.847	1.614	1883.32
1616523809.852	1.614	1882.36
1616523814.850	1.607	1881.05
1616523819.848	1.614	1879.86
1616523824.845	1.606	1878.90
1616523829.875	1.614	1877.84
1616523834.842	1.607	1876.59
1616523839.848	1.606	1875.64
1616523844.861	1.615	1874.54
1616523849.843	1.607	1873.28
1616523854.857	1.615	1872.18
1616523859.846	1.615	1871.60
1616523864.852	1.615	1870.00
1616523869.859	1.614	1868.95
1616523874.848	1.615	1868.14
1616523879.846	1.607	1867.26
1616523884.852	1.607	1865.88
1616523889.842	1.607	1864.96
1616523894.848	1.606	1864.20
1616523899.860	1.615	1863.27
1616523904.842	1.606	1862.22
1616523909.855	1.614	1860.82
1616523914.853	1.606	1859.34
1616523919.850	1.614	1858.18
1616523924.847	1.606	1857.04
1616523929.853	1.607	1855.80
1616523934.843	1.606	1854.75
1616523939.857	1.614	1853.74
1616523944.838	1.606	1853.02
1616523949.852	1.615	1851.77
1616523954.865	1.606	1850.71
1616523959.848	1.615	1849.63
1616523964.854	1.614	1848.37
1616523969.861	1.614	1847.30
1616523974.851	1.614	1846.47
1616523979.848	1.607	1845.83
1616523984.853	1.606	1844.56
1616523989.843	1.606	1843.37
1616523994.848	1.606	1842.12
1616523999.862	1.614	1841.21
1616524004.852	1.615	1840.12
1616524009.865	1.607	1838.76
1616524014.847	1.614	1837.71
1616524019.852	1.614	1836.56
1616524024.874	1.614	1835.35
1616524029.840	1.607	1833.99
1616524034.845	1.607	1833.22
1616524039.875	1.614	1832.38
1616524044.841	1.607	1831.42
1616524049.855	1.614	1830.34
1616524054.861	1.615	1829.38
1616524059.850	1.615	1828.20
1616524064.848	1.607	1827.52
1616524069.853	1.607	1826.52
1616524074.843	1.606	1825.12
1616524079.849	1.607	1823.71
1616524084.855	1.607	1822.55
1616524089.845	1.607	1821.24
1616524094.866	1.607	1820.08
1616524099.841	1.606	1818.91
1616524104.854	1.614	1817.59
1616524109.860	1.615	1816.47
1616524114.849	1.614	1815.34
1616524119.855	1.614	1814.62
1616524124.852	1.606	1814.06
1616524129.841	1.606	1813.03
1616524134.846	1.606	1811.85
1616524139.861	1.615	1810.52
1616524144.842	1.606	1809.66
1616524149.856	1.614	1808.45
1616524154.839	1.606	1807.36
1616524159.852	1.614	1806.35
1616524164.865	1.607	1805.15
1616524169.847	1.615	1804.25
1616524174.845	1.606	1803.18
1616524179.874	1.615	1801.74
1616524184.839	1.607	1799.97
1616524189.852	1.614	1799.42
1616524194.858	1.614	1798.82
1616524199.847	1.615	1797.36
1616524204.853	1.614	1796.09
1616524209.850	1.606	1795.14
1616524214.841	1.607	1794.23
1616524219.847	1.606	1793.19
1616524224.860	1.614	1792.30
1616524229.841	1.606	1791.33
1616524234.855	1.614	1790.15
1616524239.861	1.615	1789.12
1616524244.850	1.614	1787.96
1616524249.848	1.606	1786.38
1616524254.854	1.606	1785.62
1616524259.842	1.607	1784.25
1616524264.849	1.607	1783.09
1616524269.838	1.606	1781.95
1616524274.845	1.606	1781.19
1616524279.866	1.606	1780.47
1616524284.840	1.606	1779.45
1616524289.854	1.614	1778.33
1616524294.851	1.607	1777.45
1616524299.848	1.615	1775.80
1616524304.846	1.607	1774.66
1616524309.851	1.607	1773.88
1616524314.842	1.606	1772.94
1616524319.847	1.606	1772.01
1616524324.860	1.615	1771.07
1616524329.850	1.615	1769.93
1616524334.856	1.614	1768.68
1616524339.846	1.614	1767.24
1616524344.851	1.614	1765.57
1616524349.848	1.606	1764.55
1616524354.854	1.607	1764.04
1616524359.842	1.606	1762.85
1616524364.856	1.615	1761.46
1616524369.862	1.614	1760.65
1616524374.851	1.614	1759.60
1616524379.848	1.606	1758.46
1616524384.854	1.607	1757.37
1616524389.844	1.606	1756.54
1616524394.850	1.606	1755.20
1616524399.839	1.606	1753.96
1616524404.852	1.614	1752.74
1616524409.858	1.614	1751.75
1616524414.848	1.614	1750.83
1616524419.853	1.615	1749.60
1616524424.850	1.607	1748.78
1616524429.840	1.606	1747.79
1616524434.846	1.606	1746.79
1616524439.852	1.607	1745.49
1616524444.842	1.607	1744.53
1616524449.857	1.614	1743.72
1616524454.838	1.606	1742.14
1616524459.851	1.615	1741.05
1616524464.857	1.615	1740.08
1616524469.847	1.614	1738.92
1616524474.844	1.606	1737.92
1616524479.849	1.606	1736.71
1616524484.838	1.607	1735.53
1616524489.844	1.607	1734.93
1616524494.858	1.614	1733.51
1616524499.839	1.607	1732.30
1616524504.853	1.614	1731.43
1616524509.858	1.614	1730.17
1616524514.848	1.615	1729.03
1616524519.846	1.606	1727.98
1616524524.852	1.607	1727.03
1616524529.841	1.607	1726.28
1616524534.847	1.606	1725.36
1616524539.861	1.615	1724.19
1616524544.843	1.606	1722.59
1616524549.857	1.614	1721.09
1616524554.846	1.614	1720.25
1616524559.852	1.615	1719.39
1616524564.866	1.606	1718.44
1616524569.846	1.614	1717.50
1616524574.843	1.607	1716.19
1616524579.857	1.615	1714.70
1616524584.840	1.606	1713.46
1616524589.853	1.615	1712.57
1616524594.860	1.614	1711.51
1616524599.842	1.606	1710.24
1616524604.855	1.615	1708.85
1616524609.845	1.614	1707.75
1616524614.850	1.615	1706.96
1616524619.849	1.606	1705.90
1616524624.847	1.615	1704.95
1616524629.845	1.606	1703.61
1616524634.850	1.606	1702.14
1616524639.840	1.606	1701.46
1616524644.854	1.614	1700.59
1616524649.859	1.615	1699.38
1616524654.849	1.614	1698.25
1616524659.854	1.615	1697.37
1616524664.852	1.607	1696.48
1616524669.841	1.606	1695.39
1616524674.847	1.606	1694.32
1616524679.853	1.606	1693.46
1616524684.842	1.606	1692.24
1616524689.855	1.614	1691.08
1616524694.861	1.614	1689.64
1616524699.850	1.614	1688.88
1616524704.856	1.615	1688.06
1616524709.847	1.614	1686.99
1616524714.844	1.607	1686.07
1616524719.850	1.606	1684.88
1616524724.840	1.606	1683.62
1616524729.846	1.606	1682.21
1616524734.875	1.615	1681.03
1616524739.841	1.606	1680.25
1616524744.855	1.614	1679.46
1616524749.860	1.614	1678.22
1616524754.850	1.614	1677.23
1616524759.848	1.607	1675.89
1616524764.853	1.607	1674.58
1616524769.843	1.607	1673.82
1616524774.848	1.607	1672.76
1616524779.855	1.606	1671.04
1616524784.845	1.607	1669.75
1616524789.867	1.607	1668.80
1616524794.840	1.606	1667.93
1616524799.854	1.615	1666.97
1616524804.851	1.607	1665.65
1616524809.849	1.615	1664.63
1616524814.846	1.607	1663.88
1616524819.852	1.607	1662.90
1616524824.842	1.606	1661.66
1616524829.847	1.606	1660.40
1616524834.861	1.614	1659.43
1616524839.843	1.606	1658.07
1616524844.856	1.615	1656.98
1616524849.846	1.614	1655.90
1616524854.852	1.615	1654.80
1616524859.866	1.607	1653.99
1616524864.848	1.614	1652.72
1616524869.855	1.615	1651.19
1616524874.852	1.606	1650.13
1616524879.841	1.606	1649.14
1616524884.847	1.607	1648.12
1616524889.860	1.615	1647.18
1616524894.849	1.615	1646.12
1616524899.855	1.614	1645.05
1616524904.852	1.606	1644.01
1616524909.841	1.606	1643.12
1616524914.848	1.606	1641.89
1616524919.853	1.606	1640.45
1616524924.842	1.606	1639.23
1616524929.856	1.614	1638.41
1616524934.839	1.606	1638.04
1616524939.851	1.615	1636.82
1616524944.856	1.614	1635.57
1616524949.846	1.614	1634.48
1616524954.844	1.606	1633.32
1616524959.849	1.606	1632.43
1616524964.838	1.607	1631.25
1616524969.845	1.606	1629.85
1616524974.866	1.606	1628.95
1616524979.847	1.614	1627.56
1616524984.853	1.615	1626.69
1616524989.866	1.607	1625.68
1616524994.850	1.615	1624.60
1616524999.848	1.606	1623.74
1616525004.853	1.607	1622.66
1616525009.843	1.606	1621.36
1616525014.850	1.606	1620.11
1616525019.849	1.615	1618.99
1616525024.847	1.607	1617.77
1616525029.852	1.607	1616.56
1616525034.842	1.607	1615.80
1616525039.849	1.606	1614.74
1616525044.839	1.607	1613.64
1616525049.845	1.606	1612.67
1616525054.858	1.615	1611.72
1616525059.847	1.614	1610.65
1616525064.853	1.615	1609.93
1616525069.866	1.606	1608.30
1616525074.847	1.614	1607.04
1616525079.845	1.607	1606.15
1616525084.851	1.606	1605.16
1616525089.841	1.606	1603.55
1616525094.855	1.614	1602.12
1616525099.860	1.614	1601.85
1616525104.849	1.614	1600.63
1616525109.855	1.615	1599.51
1616525114.852	1.606	1598.16
1616525119.842	1.607	1596.72
1616525124.847	1.607	1595.69
1616525129.861	1.615	1594.66
1616525134.843	1.606	1593.86
1616525139.857	1.615	1593.20
1616525144.839	1.607	1591.83
1616525149.853	1.614	1590.86
1616525154.858	1.614	1589.68
1616525159.847	1.615	1588.53
1616525164.846	1.607	1587.43
1616525169.851	1.606	1586.57
1616525174.840	1.607	1585.47
1616525179.848	1.606	1584.41
1616525184.854	1.607	1583.30
1616525189.844	1.607	1582.48
1616525194.849	1.606	1581.51
1616525199.839	1.607	1580.49
1616525204.853	1.615	1579.23
1616525209.858	1.614	1577.67
1616525214.849	1.615	1576.59
1616525219.855	1.614	1575.66
1616525224.852	1.606	1574.43
1616525229.842	1.607	1573.69
1616525234.848	1.606	1572.52
1616525239.854	1.606	1571.08
1616525244.843	1.607	1569.97
1616525249.857	1.615	1569.12
1616525254.840	1.607	1568.36
1616525259.845	1.607	1566.76
1616525264.867	1.607	1565.60
1616525269.849	1.615	1564.42
1616525274.855	1.614	1563.73
1616525279.854	1.607	1562.96
1616525284.851	1.614	1561.96
1616525289.849	1.607	1560.95
1616525294.847	1.614	1559.83
1616525299.845	1.607	1558.41
1616525304.852	1.606	1557.25
