time (unix)	dt (s)	p (Pa)
1616491254.936	1.614	2917.06
1616491259.919	1.606	2915.61
1616491264.931	1.614	2914.87
1616491269.939	1.614	2913.98
1616491274.923	1.606	2913.16
1616491279.937	1.614	2912.09
1616491284.919	1.606	2911.47
1616491289.934	1.614	2910.44
1616491294.941	1.614	2909.89
1616491299.923	1.607	2909.84
1616491304.930	1.606	2908.99
1616491309.920	1.606	2908.05
1616491314.933	1.614	2907.23
1616491319.940	1.614	2906.10
1616491324.922	1.606	2905.38
1616491329.936	1.614	2904.48
1616491334.927	1.614	2903.91
1616491339.932	1.614	2903.42
1616491344.929	1.606	2903.32
1616491349.928	1.615	2902.46
1616491354.934	1.615	2901.45
1616491359.924	1.615	2900.47
1616491369.844	1.607	2900.04
1616491374.851	1.606	2899.02
1616491379.847	1.614	2898.56
1616491384.845	1.606	2898.19
1616491389.860	1.614	2897.33
1616491394.843	1.606	2896.29
1616491399.849	1.606	2895.49
1616491404.856	1.606	2894.36
1616491409.846	1.606	2893.38
1616491414.852	1.606	2892.45
1616491419.843	1.606	2891.54
1616491424.850	1.606	2890.60
1616491429.849	1.614	2889.93
1616491434.847	1.606	2888.89
1616491439.853	1.606	2888.41
1616491444.844	1.606	2887.39
1616491449.849	1.606	2886.65
1616491454.862	1.614	2885.78
1616491459.846	1.606	2885.20
1616491464.867	1.606	2884.66
1616491469.842	1.606	2883.67
1616491474.856	1.614	2882.12
1616491479.862	1.614	2881.39
1616491484.851	1.614	2880.68
1616491489.858	1.614	2880.36
1616491494.849	1.614	2879.23
1616491499.856	1.614	2878.44
1616491504.862	1.614	2877.18
1616491509.852	1.614	2876.16
1616491514.858	1.614	2875.11
1616491519.848	1.614	2874.42
1616491524.855	1.614	2873.00
1616491529.862	1.614	2871.82
1616491534.851	1.614	2870.93
1616491539.858	1.614	2870.42
1616491544.848	1.614	2869.40
1616491549.855	1.614	2868.71
1616491554.862	1.614	2867.55
1616491559.852	1.614	2866.25
1616491564.859	1.614	2865.01
1616491569.848	1.614	2863.99
1616491574.846	1.606	2862.83
1616491579.853	1.606	2861.80
1616491584.851	1.614	2860.80
1616491589.849	1.606	2859.66
1616491594.855	1.606	2858.74
1616491599.845	1.606	2858.16
1616491604.851	1.606	2857.51
1616491609.842	1.606	2856.82
1616491614.848	1.606	2855.77
1616491619.856	1.606	2855.18
1616491624.846	1.606	2854.24
1616491629.853	1.605	2853.54
1616491634.843	1.606	2852.10
1616491639.850	1.606	2851.57
1616491644.856	1.606	2851.01
1616491649.846	1.606	2850.20
1616491654.853	1.606	2848.75
1616491659.853	1.614	2847.73
1616491664.851	1.606	2846.93
1616491669.840	1.606	2846.12
1616491674.847	1.606	2844.40
1616491679.853	1.606	2843.65
1616491684.843	1.606	2842.53
1616491689.849	1.607	2841.63
1616491694.839	1.607	2840.46
1616491699.846	1.606	2839.73
1616491704.853	1.606	2839.25
1616491709.843	1.606	2838.40
1616491714.850	1.607	2837.12
1616491719.850	1.614	2836.55
1616491724.847	1.606	2835.57
1616491729.854	1.606	2834.55
1616491734.844	1.606	2833.35
1616491739.850	1.606	2832.41
1616491744.841	1.606	2831.05
1616491749.848	1.606	2830.60
1616491754.854	1.607	2830.03
1616491759.845	1.606	2829.35
1616491764.851	1.606	2828.37
1616491769.842	1.606	2827.47
1616491774.848	1.607	2826.21
1616491779.855	1.606	2825.41
1616491784.845	1.606	2824.13
1616491789.852	1.606	2823.93
1616491794.841	1.606	2823.16
1616491799.848	1.606	2821.59
1616491804.861	1.614	2819.95
1616491809.844	1.606	2819.15
1616491814.858	1.614	2818.35
1616491819.841	1.606	2817.34
1616491824.856	1.614	2816.14
1616491829.862	1.614	2815.40
1616491834.852	1.614	2814.32
1616491839.859	1.614	2813.59
1616491844.841	1.606	2812.64
1616491849.855	1.614	2811.85
1616491854.861	1.614	2810.57
1616491859.852	1.614	2809.53
1616491864.858	1.614	2808.69
1616491869.848	1.615	2807.46
1616491874.855	1.614	2805.82
1616491879.861	1.614	2805.20
1616491884.851	1.614	2804.47
1616491889.858	1.614	2803.64
1616491894.849	1.613	2802.82
1616491899.854	1.614	2802.31
1616491904.853	1.606	2800.87
1616491909.851	1.614	2799.58
1616491914.857	1.614	2798.65
1616491919.848	1.613	2798.04
1616491924.854	1.614	2797.04
1616491929.851	1.606	2796.37
1616491934.841	1.606	2795.32
1616491939.848	1.606	2794.71
1616491944.855	1.606	2793.30
1616491949.853	1.614	2792.26
1616491954.875	1.614	2791.25
1616491959.850	1.614	2790.00
1616491964.849	1.606	2788.60
1616491969.854	1.607	2787.67
1616491974.845	1.606	2786.42
1616491979.852	1.606	2785.31
1616491984.851	1.614	2784.14
1616491989.849	1.606	2783.36
1616491994.856	1.606	2782.44
1616491999.855	1.614	2781.80
1616492004.854	1.606	2780.86
1616492009.851	1.614	2779.12
1616492014.850	1.606	2777.56
1616492019.839	1.606	2776.61
1616492024.845	1.606	2775.67
1616492029.852	1.606	2775.31
1616492034.842	1.606	2774.57
1616492039.849	1.606	2774.07
1616492044.855	1.606	2773.03
1616492049.845	1.606	2772.12
1616492054.851	1.606	2770.37
1616492059.842	1.606	2769.39
1616492064.849	1.606	2768.55
1616492069.855	1.606	2767.56
1616492074.846	1.606	2766.37
1616492079.875	1.614	2765.40
1616492084.841	1.607	2764.23
1616492089.849	1.606	2763.36
1616492094.864	1.614	2762.48
1616492099.846	1.606	2761.77
1616492104.852	1.606	2760.70
1616492109.842	1.606	2759.93
1616492114.849	1.606	2758.60
1616492119.863	1.614	2757.31
1616492124.853	1.614	2756.33
1616492129.859	1.614	2755.76
1616492134.849	1.614	2754.76
1616492139.856	1.614	2753.97
1616492144.862	1.614	2753.24
1616492149.851	1.614	2752.14
1616492154.858	1.614	2751.10
1616492159.849	1.614	2750.28
1616492164.856	1.614	2749.06
1616492169.862	1.614	2747.57
1616492174.852	1.614	2746.36
1616492179.859	1.614	2745.82
1616492184.848	1.614	2744.81
1616492189.854	1.614	2743.71
1616492194.852	1.607	2742.54
1616492199.851	1.614	2741.84
1616492204.849	1.606	2740.87
1616492209.847	1.615	2739.53
1616492214.844	1.606	2737.86
1616492219.851	1.606	2736.76
1616492224.842	1.606	2735.62
1616492229.848	1.606	2734.80
1616492234.854	1.606	2733.75
1616492239.844	1.606	2732.38
1616492244.851	1.606	2731.18
1616492249.842	1.606	2730.47
1616492254.848	1.606	2729.34
1616492259.855	1.606	2728.87
1616492264.845	1.607	2728.14
1616492269.852	1.606	2726.08
1616492274.843	1.606	2724.56
1616492279.850	1.606	2723.65
1616492284.840	1.607	2723.05
1616492289.846	1.606	2722.28
1616492294.854	1.606	2721.37
1616492299.852	1.614	2720.21
1616492304.875	1.614	2718.88
1616492309.849	1.614	2718.16
1616492314.847	1.606	2716.95
1616492319.853	1.606	2715.80
1616492324.844	1.606	2714.58
1616492329.851	1.606	2713.53
1616492334.849	1.614	2712.42
1616492339.847	1.606	2711.56
1616492344.854	1.606	2710.43
1616492349.845	1.606	2709.24
1616492354.850	1.606	2708.34
1616492359.850	1.614	2707.48
1616492364.849	1.606	2706.15
1616492369.855	1.606	2705.46
1616492374.846	1.606	2704.29
1616492379.852	1.606	2703.26
1616492384.850	1.614	2702.42
1616492389.848	1.606	2701.51
1616492394.854	1.606	2700.17
1616492399.854	1.614	2699.13
1616492404.876	1.614	2698.37
1616492409.842	1.606	2697.89
1616492414.848	1.606	2696.39
1616492419.854	1.607	2694.96
1616492424.845	1.606	2694.07
1616492429.876	1.614	2693.09
1616492434.843	1.606	2691.71
1616492439.848	1.606	2690.73
1616492444.855	1.606	2689.61
1616492449.846	1.606	2688.60
1616492454.852	1.606	2687.67
1616492459.843	1.606	2686.79
1616492464.850	1.606	2685.54
1616492469.839	1.607	2684.20
1616492474.846	1.606	2682.90
1616492479.853	1.606	2682.20
1616492484.843	1.606	2681.21
1616492489.850	1.606	2680.51
1616492494.840	1.606	2679.82
1616492499.846	1.606	2679.26
1616492504.876	1.614	2678.21
1616492509.841	1.607	2676.79
1616492514.849	1.606	2675.44
1616492519.864	1.614	2674.46
1616492524.848	1.606	2673.41
1616492529.853	1.606	2672.60
1616492534.844	1.606	2671.52
1616492539.852	1.606	2670.22
1616492544.842	1.606	2669.17
1616492549.848	1.606	2667.95
1616492554.861	1.614	2666.79
1616492559.843	1.606	2666.23
1616492564.857	1.614	2665.50
1616492569.839	1.606	2664.24
1616492574.854	1.614	2663.09
1616492579.860	1.614	2662.03
1616492584.842	1.606	2660.95
1616492589.857	1.614	2659.76
1616492594.862	1.614	2658.67
1616492599.847	1.606	2657.73
