time (unix)	dt (s)	source (°C)
1616515324.501	0.095	24.1060
1616515335.497	0.092	24.1050
1616515346.489	0.076	24.1060
1616515357.497	0.091	24.1100
1616515368.512	0.100	24.1110
1616515379.504	0.097	24.1160
1616515390.509	0.096	24.1140
1616515401.505	0.091	24.1160
1616515412.497	0.091	24.1180
1616515423.518	0.106	24.1220
1616515434.504	0.092	24.1230
1616515445.495	0.089	24.1230
1616515456.511	0.095	24.1270
1616515467.505	0.092	24.1260
1616515478.497	0.090	24.1260
1616515489.504	0.091	24.1310
1616515500.495	0.090	24.1320
1616515511.519	0.106	24.1320
1616515522.502	0.096	24.1330
1616515533.512	0.106	24.1330
1616515544.505	0.087	24.1360
1616515555.506	0.093	24.1340
1616515566.512	0.106	24.1370
1616515577.511	0.097	24.1420
1616515588.503	0.097	24.1420
1616515599.494	0.080	24.1430
1616515610.499	0.084	24.1470
1616515621.490	0.084	24.1420
1616515632.506	0.094	24.1440
1616515643.511	0.097	24.1520
1616515654.490	0.078	24.1420
1616515665.499	0.093	24.1580
1616515676.506	0.092	24.1500
1616515687.499	0.093	24.1490
1616515698.489	0.077	24.1600
1616515709.505	0.099	24.1470
1616515720.497	0.081	24.1600
1616515731.504	0.098	24.1520
1616515742.511	0.097	24.1560
1616515753.490	0.077	24.1630
1616515764.514	0.107	24.1550
1616515775.490	0.076	24.1590
1616515786.496	0.090	24.1700
1616515797.504	0.091	24.1550
1616515808.495	0.089	24.1680
1616515819.503	0.088	24.1640
1616515830.505	0.092	24.1670
1616515841.498	0.093	24.1670
1616515852.497	0.084	24.1710
1616515863.496	0.090	24.1700
1616515874.519	0.106	24.1750
1616515885.494	0.088	24.1650
1616515896.490	0.084	24.1750
1616515907.505	0.089	24.1750
1616515918.510	0.104	24.1720
1616515929.514	0.108	24.1750
1616515940.505	0.090	24.1760
1616515951.491	0.085	24.1670
1616515962.514	0.101	24.1840
1616515973.507	0.090	24.1700
1616515984.505	0.099	24.1760
1616515995.497	0.084	24.1790
1616516006.497	0.090	24.1790
1616516017.494	0.082	24.1780
1616516028.504	0.091	24.1780
1616516039.513	0.107	24.1810
1616516050.522	0.106	24.1800
1616516061.504	0.098	24.1820
1616516072.511	0.098	24.1860
1616516083.511	0.105	24.1780
1616516105.494	0.088	24.1780
1616516116.506	0.101	24.1870
1616516127.512	0.100	24.1960
1616516138.506	0.099	24.1800
1616516149.490	0.076	24.1970
1616516160.491	0.084	24.1880
1616516171.507	0.093	24.1860
1616516182.504	0.088	24.1970
1616516193.496	0.084	24.1860
1616516204.506	0.099	24.1910
1616516215.512	0.097	24.1910
1616516226.489	0.083	24.1910
1616516248.511	0.092	24.1970
1616516259.529	0.114	24.1890
1616516270.511	0.105	24.1980
1616516281.505	0.090	24.1910
1616516292.496	0.090	24.1970
1616516303.522	0.104	24.1950
1616516314.511	0.104	24.1970
1616516325.502	0.087	24.1970
1616516336.499	0.084	24.1950
1616516347.499	0.094	24.1990
1616516358.494	0.089	24.1940
1616516369.490	0.084	24.1980
1616516380.506	0.094	24.1970
1616516391.503	0.088	24.1910
1616516402.497	0.084	24.2030
1616516413.499	0.093	24.1940
1616516424.499	0.088	24.1950
1616516435.519	0.106	24.2070
1616516446.495	0.089	24.1910
1616516457.513	0.097	24.2010
1616516468.496	0.090	24.1970
1616516479.514	0.096	24.1970
1616516490.495	0.088	24.2120
1616516501.498	0.092	24.1960
1616516512.498	0.086	24.2020
1616516523.502	0.089	24.2040
1616516534.506	0.093	24.1970
1616516545.519	0.104	24.2040
1616516556.505	0.093	24.2040
1616516567.488	0.082	24.1970
1616516578.506	0.091	24.2130
1616516589.489	0.084	24.1960
1616516600.521	0.105	24.2040
1616516611.504	0.098	24.2060
1616516622.504	0.091	24.1900
1616516633.503	0.097	24.2130
1616516644.495	0.080	24.1970
1616516655.498	0.085	24.2000
1616516666.507	0.101	24.2130
1616516677.496	0.090	24.1910
1616516688.519	0.107	24.2170
1616516699.504	0.097	24.2070
1616516710.494	0.081	24.1970
1616516721.513	0.101	24.2190
1616516732.498	0.092	24.1990
1616516743.513	0.101	24.2080
1616516754.514	0.107	24.2080
1616516765.505	0.092	24.2020
1616516776.497	0.090	24.2080
1616516787.519	0.107	24.2020
1616516798.504	0.098	24.2020
1616516809.518	0.105	24.2120
1616516820.513	0.101	24.2020
1616516831.497	0.091	24.2080
1616516842.513	0.101	24.2000
1616516853.506	0.100	24.2040
1616516864.504	0.092	24.2080
1616516875.497	0.091	24.1990
1616516886.515	0.098	24.2130
1616516897.497	0.091	24.2030
1616516908.521	0.104	24.2020
1616516919.504	0.098	24.2080
1616516930.519	0.107	24.1990
1616516941.513	0.107	24.2090
1616516952.507	0.090	24.2000
1616516963.513	0.107	24.2030
1616516974.523	0.106	24.2130
1616516985.512	0.107	24.1970
1616516996.513	0.097	24.2110
1616517007.497	0.091	24.2040
1616517018.504	0.087	24.2020
1616517029.513	0.100	24.2110
1616517040.505	0.099	24.2020
1616517051.497	0.082	24.2120
1616517062.487	0.081	24.2080
1616517073.520	0.104	24.2070
1616517084.511	0.105	24.2130
1616517095.502	0.086	24.2000
1616517106.514	0.097	24.2080
1616517117.512	0.106	24.2100
1616517128.507	0.089	24.1990
1616517139.506	0.100	24.2110
1616517150.489	0.077	24.2020
1616517161.496	0.090	24.2080
1616517172.513	0.099	24.2120
1616517183.503	0.097	24.2070
1616517194.520	0.105	24.2100
1616517205.503	0.097	24.2080
1616517216.504	0.088	24.2130
1616517227.515	0.101	24.2010
1616517238.513	0.097	24.2170
1616517249.503	0.097	24.2080
1616517260.504	0.090	24.2030
1616517271.511	0.105	24.2190
1616517282.509	0.096	24.2020
1616517293.507	0.091	24.2150
1616517304.505	0.099	24.2100
1616517315.538	0.121	24.2020
1616517326.511	0.105	24.2150
1616517337.513	0.098	24.2040
1616517348.495	0.089	24.2100
1616517359.528	0.114	24.2120
1616517370.527	0.121	24.2040
1616517381.504	0.090	24.2100
1616517392.503	0.098	24.2100
1616517403.526	0.113	24.2080
1616517414.497	0.084	24.2100
1616517425.519	0.113	24.2060
1616517436.504	0.090	24.2130
1616517447.495	0.089	24.2020
1616517458.521	0.104	24.2130
1616517469.502	0.096	24.2030
1616517480.496	0.090	24.2130
1616517491.518	0.106	24.2030
1616517502.501	0.095	24.2090
1616517513.496	0.090	24.2080
1616517524.503	0.088	24.2080
1616517535.499	0.086	24.2080
1616517546.501	0.088	24.2090
1616517557.496	0.084	24.2100
1616517568.489	0.084	24.2080
1616517579.522	0.107	24.2090
1616517590.513	0.107	24.2060
1616517601.510	0.098	24.2070
1616517612.496	0.090	24.2130
1616517623.519	0.105	24.2020
1616517634.513	0.100	24.2130
1616517645.505	0.099	24.2080
1616517656.496	0.083	24.2080
1616517667.511	0.106	24.2130
1616517678.511	0.097	24.2040
1616517689.514	0.101	24.2130
1616517700.515	0.108	24.2100
1616517711.530	0.118	24.2010
1616517722.510	0.095	24.2190
1616517733.538	0.122	24.2020
1616517744.515	0.108	24.2170
1616517755.515	0.101	24.2120
1616517766.526	0.111	24.2000
1616517777.529	0.116	24.2190
1616517788.513	0.107	24.2080
1616517799.505	0.092	24.2110
1616517810.502	0.097	24.2190
1616517821.507	0.101	24.2020
1616517843.533	0.119	24.2070
1616517854.528	0.115	24.2060
1616517865.503	0.097	24.2190
1616517876.519	0.104	24.1970
1616517887.529	0.114	24.2080
1616517898.505	0.099	24.2070
1616517909.501	0.089	24.1910
1616517920.514	0.102	24.2020
1616517931.510	0.095	24.1910
1616517942.521	0.106	24.1870
1616517953.519	0.113	24.1970
1616517964.519	0.105	24.1800
1616517975.527	0.121	24.1880
1616517986.518	0.105	24.1830
1616517997.530	0.117	24.1660
1616518008.517	0.101	24.1860
1616518019.519	0.105	24.1640
1616518030.497	0.084	24.1580
1616518041.497	0.091	24.1670
1616518063.523	0.109	24.1530
1616518074.511	0.097	24.1500
1616518085.498	0.086	24.1320
1616518096.519	0.103	24.1470
1616518107.522	0.109	24.1220
1616518118.502	0.087	24.1270
1616518129.522	0.106	24.1220
1616518140.489	0.083	24.1050
1616518151.510	0.097	24.1100
1616518162.511	0.099	24.0980
1616518173.486	0.080	24.0910
1616518184.489	0.084	24.0940
1616518195.504	0.092	24.0750
1616518206.503	0.096	24.0720
1616518217.506	0.099	24.0720
1616518228.505	0.089	24.0530
1616518239.510	0.105	24.0560
1616518250.509	0.094	24.0470
1616518261.513	0.097	24.0350
1616518283.497	0.092	24.0220
1616518294.527	0.114	24.0170
1616518305.502	0.096	24.0070
1616518316.505	0.099	24.0020
1616518327.512	0.100	23.9890
1616518338.512	0.106	23.9830
1616518349.510	0.097	23.9740
1616518360.505	0.092	23.9690
1616518371.520	0.114	23.9590
1616518382.509	0.097	23.9530
1616518393.505	0.091	23.9410
1616518404.496	0.090	23.9360
1616518415.521	0.108	23.9230
1616518426.490	0.084	23.9180
1616518437.513	0.097	23.9080
1616518448.512	0.106	23.8960
1616518459.497	0.084	23.8890
1616518470.488	0.081	23.8810
1616518481.520	0.105	23.8710
1616518503.518	0.112	23.8550
1616518514.490	0.084	23.8440
1616518525.514	0.100	23.8350
1616518536.514	0.107	23.8260
1616518547.522	0.106	23.8090
1616518558.512	0.106	23.8060
1616518569.511	0.098	23.7900
1616518580.504	0.098	23.7850
1616518591.503	0.089	23.7730
1616518602.513	0.100	23.7570
1616518613.491	0.085	23.7610
1616518624.490	0.077	23.7390
1616518635.505	0.099	23.7300
1616518646.507	0.092	23.7260
1616518657.490	0.084	23.7040
1616518668.498	0.084	23.7030
1616518679.508	0.102	23.6920
1616518690.513	0.107	23.6740
1616518701.512	0.100	23.6710
1616518723.508	0.102	23.6480
1616518734.536	0.130	23.6380
1616518745.513	0.098	23.6210
1616518756.528	0.122	23.6160
1616518767.503	0.091	23.6050
1616518778.504	0.098	23.5900
1616518789.504	0.091	23.5790
1616518800.489	0.083	23.5670
1616518811.532	0.115	23.5580
1616518822.511	0.095	23.5450
1616518833.512	0.100	23.5300
1616518844.496	0.090	23.5250
1616518855.554	0.139	23.5110
1616518866.535	0.119	23.4970
1616518877.506	0.092	23.4940
1616518888.499	0.093	23.4750
1616518899.494	0.088	23.4630
1616518910.497	0.091	23.4530
1616518921.543	0.131	23.4380
1616518943.547	0.141	23.4170
1616518954.493	0.088	23.3990
1616518965.497	0.092	23.3950
1616518976.523	0.106	23.3770
1616518987.490	0.084	23.3660
1616518998.491	0.076	23.3570
1616519009.489	0.082	23.3400
1616519020.544	0.131	23.3290
1616519031.545	0.138	23.3170
1616519042.569	0.153	23.3060
1616519053.512	0.106	23.2930
1616519064.559	0.147	23.2790
1616519075.559	0.153	23.2690
1616519086.545	0.127	23.2520
1616519097.488	0.082	23.2460
1616519108.520	0.106	23.2300
1616519119.511	0.105	23.2160
1616519130.559	0.143	23.2090
1616519141.551	0.146	23.1960
1616519163.515	0.101	23.1650
1616519174.561	0.146	23.1540
1616519185.529	0.122	23.1380
1616519196.536	0.124	23.1240
1616519207.505	0.099	23.1160
1616519218.564	0.149	23.0970
1616519229.535	0.122	23.0890
1616519240.551	0.145	23.0780
1616519251.551	0.138	23.0620
1616519262.535	0.129	23.0540
1616519273.559	0.147	23.0400
1616519284.552	0.146	23.0250
1616519295.530	0.115	23.0130
1616519306.546	0.140	22.9980
1616519317.546	0.134	22.9790
1616519328.551	0.136	22.9700
1616519339.574	0.168	22.9560
1616519350.574	0.160	22.9380
1616519361.543	0.137	22.9290
1616519383.547	0.133	22.8980
1616519394.542	0.129	22.8880
1616519405.543	0.137	22.8760
1616519416.551	0.138	22.8590
1616519427.551	0.146	22.8480
1616519438.553	0.139	22.8340
1616519449.536	0.131	22.8210
1616519460.545	0.129	22.8070
1616519471.543	0.138	22.7910
1616519482.567	0.154	22.7770
1616519493.536	0.130	22.7640
1616519504.543	0.131	22.7510
1616519515.562	0.156	22.7380
1616519526.535	0.129	22.7250
1616519537.542	0.129	22.7070
1616519548.534	0.129	22.6920
1616519559.536	0.121	22.6830
1616519570.537	0.130	22.6690
1616519581.537	0.121	22.6550
1616519603.533	0.127	22.6240
1616519614.530	0.124	22.6140
1616519625.562	0.149	22.6010
1616519636.528	0.113	22.5840
1616519647.527	0.121	22.5720
1616519658.559	0.146	22.5570
1616519669.529	0.123	22.5410
1616519680.562	0.146	22.5290
1616519691.530	0.124	22.5180
1616519702.531	0.118	22.5010
1616519713.528	0.111	22.4840
1616519724.552	0.146	22.4750
1616519735.559	0.146	22.4620
1616519746.522	0.116	22.4420
1616519757.522	0.108	22.4310
1616519768.529	0.124	22.4220
1616519779.522	0.108	22.4020
1616519790.526	0.111	22.3890
1616519801.529	0.114	22.3760
1616519823.548	0.142	22.3460
1616519834.520	0.114	22.3350
1616519845.520	0.107	22.3160
1616519856.521	0.114	22.3020
1616519867.552	0.140	22.2870
1616519878.521	0.115	22.2750
1616519889.530	0.114	22.2560
1616519900.512	0.106	22.2480
1616519911.520	0.107	22.2320
1616519922.523	0.116	22.2160
1616519933.546	0.133	22.2020
1616519944.519	0.105	22.1880
1616519955.546	0.134	22.1670
1616519966.517	0.104	22.1640
1616519977.513	0.100	22.1440
1616519988.545	0.140	22.1280
1616519999.522	0.108	22.1130
1616520010.538	0.132	22.1020
1616520021.536	0.129	22.0820
1616520043.517	0.103	22.0580
1616520054.510	0.099	22.0400
1616520065.535	0.129	22.0310
1616520076.519	0.106	22.0140
1616520087.512	0.105	21.9920
1616520098.511	0.098	21.9850
1616520109.552	0.145	21.9660
1616520120.535	0.122	21.9540
1616520131.535	0.129	21.9340
1616520142.552	0.138	21.9220
1616520153.535	0.129	21.9050
1616520164.527	0.113	21.8900
1616520175.534	0.128	21.8780
1616520186.511	0.096	21.8630
1616520197.553	0.141	21.8510
1616520208.533	0.119	21.8320
1616520219.531	0.114	21.8180
1616520230.530	0.125	21.8080
1616520241.542	0.136	21.7870
1616520263.531	0.113	21.7590
1616520274.497	0.091	21.7400
1616520285.532	0.114	21.7320
1616520296.498	0.092	21.7080
1616520307.504	0.092	21.6960
1616520318.546	0.140	21.6840
1616520329.517	0.111	21.6680
1616520340.498	0.092	21.6540
1616520351.546	0.130	21.6380
1616520362.538	0.132	21.6190
1616520373.544	0.132	21.6070
1616520384.498	0.091	21.5920
1616520395.515	0.102	21.5800
1616520406.518	0.105	21.5590
1616520417.538	0.126	21.5520
1616520428.494	0.081	21.5270
1616520439.538	0.126	21.5170
1616520450.518	0.105	21.5020
1616520461.515	0.103	21.4820
1616520483.515	0.102	21.4560
1616520494.534	0.122	21.4380
1616520505.512	0.105	21.4260
1616520516.542	0.128	21.4100
1616520527.535	0.129	21.3930
1616520538.551	0.137	21.3770
1616520549.528	0.122	21.3610
1616520560.513	0.100	21.3500
1616520571.530	0.124	21.3340
1616520582.529	0.116	21.3170
1616520593.530	0.124	21.3030
1616520604.514	0.100	21.2850
1616520615.531	0.125	21.2720
1616520626.511	0.105	21.2550
1616520637.512	0.098	21.2400
1616520648.505	0.099	21.2230
1616520659.544	0.132	21.2060
1616520670.537	0.131	21.1920
1616520681.529	0.115	21.1800
1616520703.542	0.136	21.1460
1616520714.535	0.120	21.1310
1616520725.536	0.130	21.1140
1616520736.520	0.108	21.0960
1616520747.544	0.138	21.0890
1616520758.538	0.122	21.0660
1616520769.515	0.108	21.0510
1616520780.531	0.119	21.0400
1616520791.537	0.123	21.0210
1616520802.531	0.125	21.0040
1616520813.518	0.112	20.9920
1616520824.515	0.108	20.9750
1616520835.540	0.127	20.9570
1616520846.521	0.108	20.9410
1616520857.530	0.124	20.9290
1616520868.514	0.102	20.9120
1616520879.535	0.121	20.8940
1616520890.519	0.113	20.8800
1616520901.528	0.113	20.8630
1616520923.531	0.126	20.8290
1616520934.513	0.106	20.8150
1616520945.520	0.107	20.8040
1616520956.512	0.106	20.7840
1616520967.527	0.113	20.7660
1616520978.512	0.106	20.7550
1616520989.528	0.115	20.7340
1616521000.530	0.124	20.7170
1616521011.521	0.109	20.7080
1616521022.523	0.117	20.6880
1616521033.504	0.098	20.6690
1616521044.528	0.114	20.6520
1616521055.506	0.099	20.6390
1616521066.505	0.092	20.6230
1616521077.506	0.100	20.6040
1616521088.506	0.092	20.5880
1616521099.521	0.115	20.5740
1616521110.522	0.108	20.5590
1616521121.506	0.101	20.5390
1616521143.525	0.111	20.5110
1616521154.513	0.100	20.4900
1616521165.514	0.108	20.4760
1616521176.522	0.109	20.4590
1616521187.513	0.107	20.4460
1616521198.521	0.107	20.4270
1616521209.514	0.108	20.4090
1616521220.514	0.101	20.3980
1616521231.498	0.092	20.3810
1616521242.507	0.093	20.3650
1616521253.512	0.095	20.3460
1616521264.522	0.110	20.3320
1616521275.520	0.104	20.3160
1616521286.505	0.093	20.2970
1616521297.497	0.091	20.2850
1616521308.522	0.107	20.2650
1616521319.507	0.101	20.2500
1616521330.523	0.109	20.2300
1616521341.519	0.105	20.2170
1616521363.513	0.098	20.1830
1616521374.506	0.100	20.1700
1616521385.515	0.102	20.1510
1616521396.506	0.090	20.1350
1616521407.504	0.098	20.1180
1616521418.521	0.106	20.1000
1616521429.512	0.107	20.0840
1616521440.515	0.097	20.0710
1616521451.489	0.083	20.0510
1616521462.512	0.100	20.0370
1616521473.498	0.092	20.0180
1616521484.498	0.085	20.0070
1616521495.491	0.086	19.9840
1616521506.498	0.092	19.9690
1616521517.514	0.100	19.9530
1616521528.506	0.100	19.9390
1616521539.506	0.092	19.9200
1616521550.498	0.092	19.9040
1616521561.505	0.091	19.8880
1616521583.501	0.095	19.8500
1616521594.498	0.092	19.8380
1616521605.513	0.101	19.8140
1616521616.507	0.101	19.7980
1616521627.496	0.090	19.7820
1616521638.512	0.098	19.7640
1616521649.497	0.091	19.7470
1616521660.514	0.097	19.7300
1616521671.497	0.091	19.7140
1616521682.503	0.091	19.6930
1616521693.513	0.107	19.6810
1616521704.511	0.099	19.6680
1616521715.499	0.093	19.6480
1616521726.498	0.086	19.6280
1616521737.496	0.081	19.6140
1616521748.507	0.094	19.5900
1616521759.503	0.088	19.5770
1616521770.498	0.086	19.5600
1616521781.496	0.081	19.5410
1616521803.492	0.087	19.5040
1616521814.511	0.106	19.4910
1616521825.512	0.098	19.4710
1616521836.497	0.091	19.4590
1616521847.507	0.091	19.4430
1616521858.508	0.102	19.4220
1616521869.505	0.099	19.4050
1616521880.515	0.102	19.3880
1616521891.504	0.090	19.3720
1616521902.495	0.089	19.3560
1616521913.498	0.084	19.3350
1616521924.499	0.092	19.3210
1616521935.499	0.086	19.3030
1616521946.520	0.104	19.2820
1616521957.499	0.086	19.2690
1616521968.514	0.098	19.2480
1616521979.483	0.076	19.2310
1616521990.506	0.092	19.2120
1616522001.492	0.086	19.1990
1616522023.500	0.094	19.1630
1616522034.496	0.090	19.1440
1616522045.507	0.088	19.1280
1616522056.504	0.098	19.1110
1616522067.497	0.084	19.0910
1616522078.498	0.092	19.0770
1616522089.498	0.085	19.0570
1616522100.499	0.093	19.0400
1616522111.523	0.110	19.0200
1616522122.511	0.097	19.0080
1616522133.523	0.110	18.9880
1616522144.520	0.106	18.9660
1616522155.512	0.106	18.9520
1616522166.520	0.107	18.9340
1616522177.489	0.083	18.9180
1616522188.490	0.077	18.9010
1616522199.515	0.109	18.8790
1616522210.512	0.106	18.8620
1616522221.527	0.113	18.8460
1616522243.500	0.095	18.8100
1616522254.520	0.114	18.7920
1616522265.522	0.105	18.7710
1616522276.512	0.106	18.7590
1616522287.521	0.107	18.7370
1616522298.490	0.084	18.7170
1616522309.493	0.077	18.7000
1616522320.498	0.084	18.6830
1616522331.515	0.110	18.6670
1616522342.504	0.097	18.6510
1616522353.512	0.098	18.6350
1616522364.504	0.098	18.6140
1616522375.520	0.107	18.5940
1616522386.505	0.099	18.5770
1616522397.515	0.097	18.5610
1616522408.505	0.098	18.5420
1616522419.527	0.114	18.5230
1616522430.511	0.105	18.5100
1616522441.512	0.097	18.4890
1616522463.499	0.092	18.4510
1616522474.514	0.102	18.4350
1616522485.529	0.112	18.4170
1616522496.513	0.106	18.3960
1616522507.514	0.100	18.3810
1616522518.522	0.117	18.3620
1616522529.520	0.109	18.3440
1616522540.514	0.108	18.3250
1616522551.507	0.093	18.3060
1616522562.502	0.088	18.2880
1616522573.522	0.108	18.2710
1616522584.498	0.092	18.2520
1616522595.506	0.093	18.2320
1616522606.522	0.116	18.2130
1616522617.529	0.115	18.2000
1616522628.506	0.100	18.1760
1616522639.514	0.102	18.1570
1616522650.521	0.105	18.1440
1616522661.514	0.107	18.1190
1616522683.519	0.104	18.0870
1616522694.506	0.094	18.0610
1616522705.496	0.081	18.0490
1616522716.515	0.103	18.0320
1616522727.512	0.099	18.0060
1616522738.505	0.099	17.9940
1616522749.523	0.107	17.9740
1616522760.493	0.087	17.9490
1616522771.514	0.108	17.9360
1616522782.506	0.093	17.9190
1616522793.515	0.109	17.8960
1616522804.503	0.097	17.8790
1616522815.504	0.089	17.8620
1616522826.505	0.099	17.8400
1616522837.519	0.106	17.8200
1616522848.504	0.097	17.7980
1616522859.514	0.098	17.7840
1616522870.498	0.092	17.7670
1616522881.506	0.093	17.7480
1616522903.504	0.098	17.7070
1616522914.512	0.098	17.6860
1616522925.520	0.115	17.6690
1616522936.510	0.098	17.6500
1616522947.520	0.114	17.6310
1616522958.504	0.092	17.6150
1616522969.497	0.091	17.5940
1616522980.514	0.098	17.5810
1616522991.520	0.114	17.5590
1616523002.519	0.106	17.5380
1616523013.496	0.090	17.5200
1616523024.528	0.114	17.4990
1616523035.512	0.106	17.4820
1616523046.524	0.105	17.4600
1616523057.500	0.094	17.4440
1616523068.497	0.090	17.4230
1616523090.500	0.087	17.3860
1616523101.520	0.107	17.3650
1616523123.517	0.111	17.3270
1616523145.495	0.089	17.2860
1616523156.521	0.106	17.2670
1616523167.506	0.100	17.2490
1616523178.497	0.084	17.2210
1616523189.514	0.109	17.2070
1616523200.514	0.102	17.1830
1616523211.505	0.088	17.1650
1616523222.505	0.098	17.1470
1616523233.520	0.107	17.1270
1616523244.512	0.107	17.1080
1616523266.504	0.098	17.0660
1616523277.520	0.106	17.0500
1616523288.513	0.106	17.0260
1616523299.508	0.090	17.0080
1616523310.498	0.091	16.9880
1616523321.506	0.094	16.9700
1616523343.490	0.076	16.9290
1616523354.490	0.083	16.9080
1616523365.509	0.092	16.8900
1616523376.498	0.085	16.8730
1616523387.507	0.101	16.8450
1616523398.514	0.101	16.8300
1616523409.512	0.097	16.8110
1616523420.511	0.105	16.7870
1616523431.504	0.089	16.7710
1616523442.483	0.076	16.7470
1616523464.512	0.099	16.7120
1616523475.498	0.092	16.6900
1616523486.532	0.117	16.6740
1616523497.536	0.122	16.6500
1616523508.498	0.092	16.6280
1616523519.498	0.085	16.6120
1616523530.531	0.125	16.5870
1616523541.526	0.120	16.5710
1616523563.530	0.117	16.5270
1616523574.503	0.089	16.5090
1616523585.497	0.090	16.4920
1616523596.540	0.123	16.4680
1616523607.527	0.113	16.4480
1616523618.519	0.113	16.4320
1616523629.527	0.114	16.4050
1616523640.494	0.089	16.3850
1616523651.492	0.086	16.3710
1616523662.496	0.090	16.3420
1616523673.497	0.084	16.3220
1616523684.530	0.124	16.3110
1616523695.529	0.117	16.2810
1616523706.483	0.078	16.2650
1616523717.498	0.092	16.2430
1616523728.530	0.116	16.2220
1616523739.523	0.116	16.2050
1616523750.528	0.122	16.1800
1616523761.529	0.116	16.1620
1616523783.518	0.112	16.1210
1616523794.524	0.119	16.0960
1616523805.482	0.076	16.0760
1616523816.531	0.118	16.0620
1616523827.529	0.115	16.0320
1616523838.523	0.116	16.0160
1616523849.530	0.118	15.9940
1616523860.520	0.107	15.9710
1616523871.521	0.116	15.9560
1616523882.523	0.109	15.9290
1616523893.528	0.114	15.9130
1616523904.528	0.122	15.8880
1616523915.528	0.116	15.8650
1616523926.515	0.109	15.8470
1616523937.523	0.111	15.8290
1616523948.520	0.108	15.7990
1616523959.528	0.123	15.7880
1616523970.538	0.122	15.7630
1616523981.514	0.108	15.7440
1616524003.528	0.115	15.6960
1616524014.522	0.116	15.6760
1616524025.514	0.102	15.6580
1616524036.513	0.098	15.6360
1616524047.522	0.116	15.6110
1616524058.520	0.108	15.5950
1616524069.515	0.108	15.5740
1616524080.514	0.102	15.5510
1616524091.529	0.114	15.5320
1616524102.514	0.107	15.5060
1616524113.522	0.108	15.4900
1616524124.522	0.116	15.4670
1616524135.531	0.119	15.4440
1616524146.521	0.108	15.4240
1616524157.515	0.109	15.4000
1616524168.521	0.115	15.3760
1616524179.532	0.116	15.3590
1616524190.520	0.107	15.3330
1616524201.514	0.108	15.3160
1616524223.513	0.100	15.2740
1616524234.514	0.109	15.2490
1616524245.509	0.095	15.2240
1616524256.506	0.093	15.2040
1616524267.515	0.109	15.1860
1616524278.504	0.099	15.1590
1616524289.513	0.101	15.1350
1616524300.500	0.095	15.1190
1616524311.513	0.108	15.0940
1616524322.516	0.100	15.0720
1616524333.505	0.089	15.0510
1616524344.505	0.100	15.0300
1616524355.499	0.087	15.0020
1616524366.497	0.083	14.9810
1616524377.507	0.101	14.9640
1616524388.504	0.098	14.9360
1616524399.507	0.093	14.9160
1616524410.513	0.097	14.8950
1616524421.496	0.090	14.8700
1616524443.518	0.105	14.8260
1616524454.507	0.095	14.8050
1616524465.489	0.075	14.7850
1616524476.499	0.093	14.7600
1616524487.507	0.093	14.7380
1616524498.498	0.081	14.7160
1616524509.484	0.078	14.6950
1616524520.497	0.091	14.6680
1616524531.516	0.099	14.6480
1616524542.492	0.086	14.6260
1616524553.489	0.083	14.6010
1616524564.500	0.083	14.5830
1616524575.485	0.079	14.5540
1616524586.506	0.100	14.5360
1616524597.492	0.078	14.5100
1616524608.522	0.106	14.4890
1616524619.482	0.076	14.4740
1616524630.509	0.095	14.4360
1616524641.497	0.085	14.4230
1616524663.497	0.090	14.3740
1616524674.490	0.076	14.3490
1616524685.499	0.093	14.3320
1616524696.501	0.088	14.3070
1616524707.506	0.093	14.2830
1616524718.484	0.078	14.2650
1616524729.512	0.106	14.2340
1616524740.519	0.107	14.2170
1616524751.498	0.092	14.1920
1616524762.500	0.085	14.1680
1616524773.511	0.098	14.1450
1616524784.506	0.100	14.1200
1616524795.516	0.102	14.1020
1616524806.497	0.083	14.0730
1616524817.490	0.085	14.0460
1616524828.501	0.086	14.0300
1616524839.505	0.091	14.0030
1616524850.507	0.101	13.9780
1616524861.496	0.090	13.9580
1616524883.519	0.103	13.9080
1616524894.509	0.095	13.8880
1616524905.507	0.090	13.8650
1616524916.490	0.085	13.8390
1616524927.507	0.094	13.8160
1616524938.514	0.101	13.7920
1616524949.497	0.081	13.7710
1616524960.490	0.084	13.7420
1616524971.498	0.086	13.7210
1616524982.514	0.100	13.6970
1616524993.491	0.084	13.6760
1616525004.506	0.092	13.6520
1616525015.499	0.093	13.6280
1616525026.515	0.103	13.6050
1616525037.497	0.084	13.5830
1616525048.490	0.085	13.5570
1616525059.507	0.093	13.5320
1616525070.513	0.100	13.5080
1616525081.499	0.093	13.4870
1616525103.492	0.077	13.4350
1616525114.514	0.099	13.4110
1616525125.483	0.076	13.3840
1616525136.507	0.095	13.3670
1616525147.506	0.092	13.3310
1616525158.491	0.085	13.3160
1616525169.491	0.079	13.2910
1616525180.505	0.092	13.2620
1616525191.490	0.084	13.2370
1616525202.491	0.075	13.2180
1616525213.507	0.102	13.1910
1616525224.497	0.091	13.1720
1616525235.513	0.101	13.1390
1616525246.491	0.085	13.1170
1616525257.500	0.086	13.0990
1616525268.499	0.084	13.0610
1616525279.484	0.078	13.0500
1616525290.503	0.098	13.0170
1616525301.497	0.084	12.9900
1616525323.513	0.107	12.9420
1616525334.508	0.091	12.9230
1616525345.507	0.101	12.8920
1616525356.505	0.100	12.8670
1616525367.510	0.093	12.8430
