time (unix)	dt (s)	source (°C)
1616492466.512	0.106	22.1600
1616492477.544	0.130	22.1430
1616492488.526	0.119	22.1240
1616492499.506	0.100	22.1180
1616492521.535	0.120	22.0820
1616492532.525	0.119	22.0740
1616492543.528	0.122	22.0550
1616492554.542	0.129	22.0450
1616492565.526	0.120	22.0260
1616492576.505	0.099	22.0110
1616492587.543	0.130	21.9980
1616492598.526	0.120	21.9850
1616492609.536	0.130	21.9660
1616492620.545	0.129	21.9570
1616492631.519	0.113	21.9380
1616492642.533	0.118	21.9240
1616492653.530	0.113	21.9040
1616492664.544	0.138	21.9000
1616492675.529	0.113	21.8790
1616492686.535	0.129	21.8610
1616492697.541	0.129	21.8520
1616492708.519	0.107	21.8260
1616492719.528	0.121	21.8230
1616492741.538	0.125	21.7860
1616492752.534	0.120	21.7760
1616492763.520	0.108	21.7540
1616492774.521	0.114	21.7450
1616492785.525	0.113	21.7270
1616492796.520	0.108	21.7150
1616492807.528	0.122	21.6990
1616492818.520	0.104	21.6900
1616492829.533	0.128	21.6690
1616492840.521	0.115	21.6540
1616492851.514	0.100	21.6430
1616492862.514	0.108	21.6290
1616492873.520	0.107	21.6080
1616492884.518	0.113	21.5910
1616492895.519	0.105	21.5830
1616492906.522	0.109	21.5610
1616492917.529	0.112	21.5480
1616492928.527	0.120	21.5280
1616492939.517	0.102	21.5170
1616492961.530	0.116	21.4870
1616492972.503	0.098	21.4690
1616492983.527	0.113	21.4510
1616492994.518	0.112	21.4410
1616493005.525	0.110	21.4240
1616493016.520	0.105	21.4070
1616493027.519	0.113	21.3930
1616493038.509	0.095	21.3770
1616493049.527	0.113	21.3600
1616493060.527	0.121	21.3460
1616493071.525	0.113	21.3290
1616493082.520	0.108	21.3160
1616493093.512	0.106	21.2980
1616493104.530	0.111	21.2810
1616493115.510	0.104	21.2680
1616493126.514	0.108	21.2540
1616493137.506	0.092	21.2370
1616493148.520	0.115	21.2190
1616493159.520	0.103	21.2090
1616493181.524	0.110	21.1780
1616493192.525	0.113	21.1590
