time (unix)	dt (s)	room (°C)	stage (°C)
1616521040.875	2.616	26.6982	25.4596
1616521050.874	2.615	26.6963	25.4580
1616521060.868	2.618	26.6880	25.4663
1616521070.870	2.620	26.6829	25.4625
1616521080.882	2.623	26.6932	25.4606
1616521090.874	2.617	26.6942	25.4599
1616521100.876	2.616	26.6900	25.4570
1616521110.883	2.624	26.6851	25.4557
1616521120.872	2.615	26.6798	25.4551
1616521130.870	2.621	26.6755	25.4544
1616521140.886	2.625	26.6748	25.4550
1616521150.873	2.615	26.6683	25.4583
1616521160.870	2.618	26.6616	25.4580
1616521170.871	2.620	26.6520	25.4592
1616521180.875	2.615	26.6509	25.4584
1616521190.886	2.625	26.6632	25.4600
1616521200.871	2.616	26.6592	25.4617
1616521210.873	2.622	26.6581	25.4606
1616521220.875	2.615	26.6622	25.4618
1616521230.881	2.620	26.6593	25.4666
1616521240.872	2.621	26.6642	25.4659
1616521250.876	2.615	26.6762	25.4725
1616521260.875	2.616	26.6971	25.4664
1616521270.880	2.622	26.6971	25.4689
1616521280.870	2.620	26.6875	25.4718
1616521290.881	2.622	26.6812	25.4685
1616521300.872	2.621	26.6817	25.4662
1616521310.872	2.615	26.6801	25.4620
1616521320.878	2.627	26.6812	25.4578
1616521330.877	2.616	26.6790	25.4669
1616521340.875	2.616	26.6718	25.4630
1616521350.873	2.617	26.6699	25.4592
1616521360.875	2.615	26.6650	25.4610
1616521370.876	2.616	26.6596	25.4653
1616521380.873	2.615	26.6513	25.4649
1616521390.869	2.619	26.6472	25.4616
1616521400.873	2.621	26.6556	25.4613
1616521410.872	2.616	26.6637	25.4594
1616521420.870	2.619	26.6687	25.4597
1616521430.871	2.621	26.6818	25.4588
1616521440.874	2.615	26.6784	25.4588
1616521450.884	2.624	26.6772	25.4568
1616521460.873	2.615	26.6880	25.4570
1616521470.882	2.620	26.7062	25.4553
1616521480.872	2.621	26.7159	25.4538
1616521490.873	2.616	26.7199	25.4572
1616521500.876	2.616	26.7137	25.4587
1616521510.873	2.615	26.7093	25.4599
1616521520.870	2.620	26.7086	25.4584
1616521530.881	2.620	26.7137	25.4592
1616521540.872	2.621	26.7077	25.4592
1616521550.883	2.621	26.7019	25.4601
1616521560.872	2.622	26.6928	25.4658
1616521570.875	2.615	26.6827	25.4650
1616521580.883	2.622	26.6778	25.4617
1616521590.881	2.620	26.6803	25.4607
1616521600.873	2.622	26.6855	25.4594
1616521610.880	2.622	26.6896	25.4604
1616521620.872	2.620	26.6773	25.4612
1616521630.875	2.618	26.6668	25.4579
1616521640.871	2.615	26.6604	25.4564
1616521650.870	2.621	26.6625	25.4550
1616521660.882	2.621	26.6710	25.4533
1616521670.870	2.620	26.6666	25.4537
1616521680.884	2.622	26.6743	25.4552
1616521690.875	2.615	26.6742	25.4566
1616521700.875	2.615	26.6658	25.4572
1616521710.880	2.621	26.6615	25.4572
1616521720.872	2.621	26.6623	25.4591
1616521730.874	2.615	26.6670	25.4591
1616521740.875	2.615	26.6665	25.4609
1616521750.875	2.615	26.6674	25.4674
1616521760.882	2.620	26.6901	25.4673
1616521770.872	2.621	26.6890	25.4642
1616521780.874	2.616	26.6839	25.4644
1616521790.884	2.622	26.6897	25.4724
1616521800.875	2.616	26.6976	25.4714
1616521810.882	2.623	26.6931	25.4728
1616521820.874	2.615	26.6865	25.4697
1616521830.869	2.620	26.6865	25.4666
1616521840.886	2.625	26.6837	25.4634
1616521850.881	2.621	26.6878	25.4606
1616521860.869	2.619	26.6912	25.4634
1616521870.867	2.617	26.6909	25.4626
1616521880.871	2.621	26.7015	25.4611
1616521890.875	2.618	26.7053	25.4593
1616521900.872	2.615	26.6890	25.4572
1616521910.871	2.620	26.6843	25.4575
1616521920.882	2.624	26.6916	25.4583
1616521930.871	2.621	26.6908	25.4650
1616521940.876	2.619	26.6978	25.4655
1616521950.871	2.615	26.6981	25.4614
1616521960.870	2.620	26.6906	25.4631
1616521970.886	2.625	26.6954	25.4636
1616521980.874	2.616	26.7018	25.4665
1616521990.876	2.616	26.7052	25.4674
1616522000.872	2.615	26.7142	25.4646
1616522010.871	2.620	26.7156	25.4621
1616522020.885	2.625	26.7128	25.4672
1616522030.875	2.615	26.7136	25.4645
1616522040.876	2.615	26.7035	25.4627
1616522050.873	2.616	26.7011	25.4595
1616522060.881	2.620	26.6942	25.4555
1616522070.871	2.621	26.6822	25.4568
1616522080.871	2.615	26.6816	25.4575
1616522090.870	2.620	26.6786	25.4592
1616522100.881	2.622	26.6621	25.4650
1616522110.871	2.621	26.6572	25.4703
1616522120.874	2.616	26.6538	25.4722
1616522130.875	2.615	26.6609	25.4670
1616522140.870	2.620	26.6738	25.4601
1616522150.872	2.621	26.6832	25.4568
1616522160.882	2.620	26.6937	25.4582
1616522170.870	2.620	26.7126	25.4578
1616522180.880	2.620	26.7076	25.4576
1616522190.871	2.620	26.7016	25.4569
1616522200.876	2.617	26.6938	25.4579
1616522210.875	2.615	26.6953	25.4574
1616522220.875	2.615	26.6911	25.4584
1616522230.883	2.624	26.6931	25.4539
1616522240.874	2.615	26.6946	25.4627
1616522250.872	2.622	26.7044	25.4632
1616522260.871	2.615	26.7158	25.4614
1616522270.872	2.620	26.7263	25.4594
1616522280.882	2.624	26.7186	25.4582
1616522290.873	2.615	26.7202	25.4609
1616522300.870	2.620	26.7009	25.4676
1616522310.882	2.622	26.6865	25.4743
1616522320.871	2.620	26.6957	25.4753
1616522330.884	2.622	26.6968	25.4710
1616522340.874	2.615	26.6919	25.4664
1616522350.882	2.620	26.6865	25.4652
1616522360.873	2.622	26.6863	25.4654
1616522370.872	2.616	26.6979	25.4636
1616522380.870	2.620	26.6957	25.4677
1616522390.881	2.622	26.6974	25.4669
1616522400.871	2.621	26.7108	25.4644
1616522410.881	2.622	26.7216	25.4626
1616522420.871	2.621	26.7214	25.4607
1616522430.873	2.615	26.7079	25.4614
1616522440.870	2.620	26.6977	25.4597
1616522450.875	2.617	26.7002	25.4601
1616522460.875	2.615	26.7152	25.4658
1616522470.877	2.617	26.7279	25.4709
1616522480.881	2.621	26.7270	25.4684
1616522490.870	2.621	26.7272	25.4627
1616522500.882	2.622	26.7202	25.4586
1616522510.871	2.620	26.7098	25.4562
1616522520.874	2.616	26.7173	25.4586
1616522530.884	2.623	26.7167	25.4640
1616522540.876	2.615	26.7115	25.4721
1616522550.874	2.617	26.7167	25.4697
1616522560.873	2.615	26.7226	25.4670
1616522570.870	2.620	26.7265	25.4638
1616522580.883	2.623	26.7281	25.4610
1616522590.874	2.615	26.7235	25.4589
1616522600.870	2.620	26.7224	25.4665
1616522610.881	2.621	26.7178	25.4650
1616522620.870	2.620	26.7102	25.4593
1616522630.883	2.623	26.7018	25.4568
1616522640.874	2.615	26.6987	25.4581
1616522650.870	2.620	26.7069	25.4552
1616522660.881	2.622	26.7027	25.4551
1616522670.869	2.620	26.6947	25.4560
1616522680.870	2.621	26.6912	25.4590
1616522690.875	2.616	26.7158	25.4595
1616522700.874	2.615	26.7378	25.4605
1616522710.886	2.623	26.7317	25.4612
1616522720.872	2.615	26.7252	25.4568
1616522730.872	2.620	26.7153	25.4583
1616522740.873	2.615	26.7108	25.4595
1616522750.870	2.620	26.7128	25.4605
1616522760.875	2.615	26.7258	25.4599
1616522770.875	2.615	26.7303	25.4605
1616522780.874	2.615	26.7234	25.4618
1616522790.870	2.620	26.7197	25.4635
1616522800.874	2.615	26.7052	25.4624
1616522810.881	2.620	26.7034	25.4629
1616522820.871	2.621	26.7037	25.4692
1616522830.874	2.615	26.7046	25.4680
1616522840.882	2.620	26.7094	25.4676
1616522850.870	2.620	26.7092	25.4664
1616522860.882	2.620	26.7039	25.4660
1616522870.871	2.620	26.6999	25.4721
1616522880.873	2.616	26.6959	25.4705
1616522890.871	2.621	26.7107	25.4664
1616522900.874	2.615	26.7212	25.4647
1616522910.881	2.621	26.7325	25.4694
1616522920.871	2.621	26.7369	25.4704
1616522930.874	2.615	26.7207	25.4674
1616522940.881	2.620	26.7130	25.4666
1616522950.871	2.621	26.7181	25.4672
1616522960.874	2.616	26.7137	25.4637
1616522970.875	2.615	26.7023	25.4641
1616522980.874	2.615	26.6967	25.4664
1616522990.871	2.620	26.6910	25.4633
1616523000.874	2.615	26.6840	25.4637
1616523010.869	2.620	26.6750	25.4620
1616523020.882	2.621	26.6658	25.4619
1616523030.871	2.621	26.6717	25.4615
1616523040.873	2.615	26.6710	25.4621
1616523050.871	2.620	26.6680	25.4622
1616523060.875	2.615	26.6736	25.4603
1616523070.881	2.620	26.6725	25.4682
1616523080.871	2.620	26.6687	25.4744
1616523090.874	2.615	26.6709	25.4766
1616523100.877	2.615	26.6722	25.4724
1616523110.872	2.616	26.6814	25.4695
1616523120.872	2.621	26.6860	25.4655
1616523130.874	2.616	26.6928	25.4644
1616523140.875	2.615	26.6798	25.4621
1616523150.875	2.615	26.6849	25.4612
1616523160.875	2.615	26.6940	25.4600
1616523170.869	2.620	26.6951	25.4582
1616523180.876	2.615	26.6989	25.4602
1616523190.874	2.615	26.6890	25.4629
1616523200.870	2.620	26.6899	25.4632
1616523210.873	2.615	26.7001	25.4664
1616523220.870	2.620	26.7026	25.4684
1616523230.886	2.625	26.7049	25.4660
1616523240.873	2.615	26.7131	25.4643
1616523250.870	2.620	26.7121	25.4641
1616523260.875	2.615	26.7034	25.4640
1616523270.875	2.615	26.6948	25.4646
1616523280.874	2.616	26.7045	25.4654
1616523290.869	2.620	26.6987	25.4694
1616523300.875	2.615	26.6775	25.4701
1616523310.874	2.615	26.6696	25.4675
1616523320.869	2.620	26.6745	25.4682
1616523330.871	2.621	26.6703	25.4665
1616523340.874	2.615	26.6726	25.4658
1616523350.875	2.615	26.6837	25.4664
1616523360.870	2.620	26.6813	25.4663
1616523370.873	2.615	26.6745	25.4664
1616523380.871	2.620	26.6736	25.4666
1616523390.872	2.615	26.6673	25.4691
1616523400.871	2.621	26.6765	25.4701
1616523410.882	2.625	26.6848	25.4718
1616523420.872	2.615	26.6752	25.4704
1616523430.870	2.620	26.6797	25.4686
1616523440.876	2.615	26.6782	25.4713
1616523450.874	2.616	26.6797	25.4711
1616523460.883	2.622	26.6922	25.4670
1616523470.870	2.620	26.6945	25.4659
1616523480.875	2.615	26.7037	25.4649
1616523490.875	2.615	26.7120	25.4647
1616523500.875	2.615	26.7111	25.4633
1616523510.875	2.615	26.7113	25.4657
1616523520.873	2.615	26.7042	25.4658
1616523530.870	2.620	26.6981	25.4649
1616523540.875	2.617	26.6933	25.4619
1616523550.873	2.615	26.6885	25.4634
1616523560.870	2.620	26.6949	25.4632
1616523570.874	2.616	26.7078	25.4675
1616523580.881	2.620	26.7090	25.4661
1616523590.872	2.621	26.7207	25.4729
1616523600.873	2.615	26.7228	25.4725
1616523610.871	2.620	26.7188	25.4706
1616523620.874	2.615	26.7163	25.4701
1616523630.881	2.620	26.7053	25.4705
1616523640.872	2.621	26.7066	25.4664
1616523650.873	2.615	26.6994	25.4678
1616523660.882	2.620	26.7025	25.4662
1616523670.871	2.621	26.6966	25.4697
1616523680.873	2.615	26.6937	25.4672
1616523690.871	2.620	26.6825	25.4667
1616523700.874	2.615	26.6810	25.4667
1616523710.883	2.621	26.6913	25.4687
1616523720.876	2.616	26.6963	25.4670
1616523730.874	2.615	26.7023	25.4656
1616523740.870	2.620	26.7060	25.4690
1616523750.876	2.615	26.7059	25.4692
1616523760.875	2.615	26.7054	25.4660
1616523770.881	2.620	26.6993	25.4664
1616523780.872	2.621	26.6959	25.4646
1616523790.872	2.615	26.6985	25.4662
1616523800.870	2.620	26.7040	25.4650
1616523810.882	2.620	26.6962	25.4696
1616523820.871	2.620	26.6912	25.4716
1616523830.873	2.615	26.6968	25.4693
1616523840.872	2.621	26.7013	25.4680
1616523850.873	2.615	26.7070	25.4667
1616523860.870	2.620	26.7192	25.4659
1616523870.874	2.615	26.7208	25.4652
1616523880.875	2.615	26.7307	25.4662
1616523890.875	2.615	26.7302	25.4704
1616523900.874	2.615	26.7283	25.4724
1616523910.870	2.620	26.7286	25.4727
1616523920.875	2.615	26.7277	25.4741
1616523930.874	2.615	26.7178	25.4704
1616523940.875	2.615	26.7189	25.4692
1616523950.874	2.615	26.7228	25.4687
1616523960.876	2.615	26.7327	25.4663
1616523970.875	2.615	26.7265	25.4661
1616523980.874	2.615	26.7189	25.4662
1616523990.883	2.620	26.7146	25.4657
1616524000.872	2.621	26.7237	25.4642
1616524010.872	2.615	26.7074	25.4634
1616524020.872	2.621	26.7114	25.4635
1616524030.874	2.616	26.7168	25.4629
1616524040.876	2.615	26.7183	25.4648
1616524050.873	2.615	26.7125	25.4679
1616524060.871	2.620	26.7040	25.4669
1616524070.874	2.615	26.7065	25.4668
1616524080.876	2.615	26.6995	25.4675
1616524090.875	2.615	26.6830	25.4680
1616524100.881	2.621	26.6732	25.4676
1616524110.870	2.620	26.6721	25.4670
1616524120.874	2.615	26.6735	25.4685
1616524130.881	2.622	26.6785	25.4681
1616524140.870	2.620	26.6820	25.4688
1616524150.874	2.615	26.6934	25.4728
1616524160.875	2.615	26.6984	25.4702
1616524170.881	2.620	26.6897	25.4717
1616524180.871	2.620	26.6794	25.4697
1616524190.874	2.615	26.6760	25.4693
1616524200.882	2.620	26.6751	25.4723
1616524210.871	2.620	26.6660	25.4755
1616524220.873	2.615	26.6602	25.4730
1616524230.869	2.620	26.6529	25.4694
1616524240.882	2.620	26.6648	25.4697
1616524250.871	2.620	26.6670	25.4713
1616524260.873	2.615	26.6620	25.4722
1616524270.871	2.620	26.6611	25.4690
1616524280.873	2.615	26.6611	25.4658
1616524290.871	2.620	26.6546	25.4700
1616524300.875	2.615	26.6598	25.4726
1616524310.874	2.615	26.6532	25.4661
1616524320.869	2.620	26.6504	25.4671
1616524330.870	2.620	26.6613	25.4664
1616524340.870	2.620	26.6700	25.4667
1616524350.874	2.615	26.6763	25.4720
1616524360.870	2.620	26.6737	25.4726
1616524370.874	2.615	26.6850	25.4707
1616524380.870	2.620	26.6849	25.4731
1616524390.876	2.615	26.6865	25.4686
1616524400.872	2.615	26.7019	25.4716
1616524410.870	2.620	26.7006	25.4690
1616524420.869	2.620	26.7053	25.4674
1616524430.870	2.620	26.7029	25.4676
1616524440.876	2.615	26.7052	25.4654
1616524450.873	2.615	26.6999	25.4629
1616524460.871	2.621	26.6897	25.4686
1616524470.872	2.615	26.6836	25.4741
1616524480.869	2.620	26.6860	25.4687
1616524490.882	2.620	26.6827	25.4725
1616524500.869	2.620	26.6751	25.4764
1616524510.870	2.620	26.6753	25.4723
1616524520.875	2.615	26.6657	25.4669
1616524530.875	2.615	26.6534	25.4655
1616524540.870	2.620	26.6541	25.4621
1616524550.875	2.615	26.6701	25.4588
1616524560.875	2.615	26.6790	25.4677
1616524570.869	2.620	26.6705	25.4675
1616524580.874	2.615	26.6730	25.4686
1616524590.882	2.620	26.6723	25.4673
1616524600.870	2.620	26.6814	25.4683
1616524610.876	2.615	26.6898	25.4676
1616524620.875	2.615	26.6946	25.4660
1616524630.875	2.615	26.6948	25.4648
1616524640.881	2.620	26.7006	25.4664
1616524650.870	2.620	26.6922	25.4637
1616524660.875	2.615	26.6774	25.4629
1616524670.875	2.615	26.6782	25.4659
1616524680.875	2.615	26.6790	25.4661
1616524690.875	2.615	26.6747	25.4664
1616524700.875	2.615	26.6764	25.4675
1616524710.875	2.615	26.6776	25.4676
1616524720.876	2.615	26.6758	25.4669
1616524730.873	2.615	26.6783	25.4671
1616524740.884	2.622	26.6789	25.4653
1616524750.874	2.615	26.6826	25.4636
1616524760.870	2.620	26.6816	25.4685
1616524770.874	2.615	26.6898	25.4722
1616524780.883	2.620	26.6973	25.4700
1616524790.869	2.620	26.7034	25.4719
1616524800.875	2.615	26.7124	25.4699
1616524810.874	2.615	26.7100	25.4667
1616524820.870	2.620	26.6974	25.4671
1616524830.876	2.615	26.7038	25.4670
1616524840.875	2.615	26.7078	25.4680
1616524850.875	2.615	26.7199	25.4662
1616524860.875	2.615	26.7186	25.4668
1616524870.875	2.615	26.7066	25.4673
1616524880.875	2.615	26.7056	25.4644
1616524890.874	2.615	26.7037	25.4629
1616524900.875	2.615	26.7029	25.4672
1616524910.874	2.615	26.7146	25.4704
1616524920.869	2.620	26.7157	25.4656
1616524930.870	2.620	26.7042	25.4646
1616524940.875	2.615	26.6995	25.4650
1616524950.881	2.620	26.6966	25.4688
1616524960.870	2.620	26.6914	25.4678
1616524970.874	2.615	26.6835	25.4664
1616524980.882	2.621	26.6882	25.4648
1616524990.871	2.620	26.6903	25.4655
1616525000.874	2.615	26.6936	25.4656
1616525010.875	2.615	26.6968	25.4661
1616525020.875	2.615	26.6897	25.4686
1616525030.870	2.620	26.6808	25.4680
1616525040.876	2.615	26.6847	25.4676
1616525050.875	2.615	26.6701	25.4682
1616525060.875	2.615	26.6689	25.4681
1616525070.874	2.615	26.6633	25.4683
1616525080.882	2.620	26.6625	25.4690
1616525090.870	2.620	26.6542	25.4785
1616525100.874	2.615	26.6578	25.4752
1616525110.875	2.615	26.6603	25.4799
1616525120.876	2.615	26.6542	25.4751
1616525130.874	2.615	26.6459	25.4767
1616525140.881	2.620	26.6394	25.4722
1616525150.871	2.620	26.6403	25.4701
1616525160.874	2.615	26.6386	25.4696
1616525170.869	2.620	26.6460	25.4701
1616525180.869	2.620	26.6488	25.4659
1616525190.881	2.620	26.6362	25.4640
1616525200.870	2.620	26.6265	25.4630
1616525210.875	2.615	26.6260	25.4619
1616525220.876	2.615	26.6208	25.4607
1616525230.874	2.615	26.6284	25.4611
1616525240.869	2.620	26.6403	25.4623
1616525250.883	2.620	26.6538	25.4615
1616525260.870	2.620	26.6533	25.4622
1616525270.876	2.615	26.6463	25.4612
1616525280.875	2.615	26.6489	25.4633
1616525290.874	2.615	26.6467	25.4641
1616525300.875	2.615	26.6363	25.4634
1616525310.869	2.620	26.6356	25.4660
1616525320.869	2.620	26.6440	25.4664
1616525330.882	2.620	26.6541	25.4631
1616525340.870	2.620	26.6513	25.4641
1616525350.876	2.615	26.6526	25.4633
1616525360.874	2.615	26.6567	25.4608
1616525370.871	2.620	26.6483	25.4649
1616525380.874	2.615	26.6411	25.4655
1616525390.881	2.620	26.6501	25.4681
1616525400.870	2.620	26.6585	25.4672
1616525410.875	2.615	26.6562	25.4665
1616525420.873	2.615	26.6531	25.4677
1616525430.869	2.620	26.6499	25.4669
1616525440.882	2.620	26.6517	25.4708
1616525450.870	2.620	26.6611	25.4695
1616525460.875	2.615	26.6600	25.4657
1616525470.875	2.615	26.6448	25.4652
1616525480.875	2.615	26.6308	25.4627
1616525490.876	2.615	26.6296	25.4626
1616525500.874	2.615	26.6251	25.4649
1616525510.870	2.620	26.6275	25.4681
1616525520.875	2.615	26.6317	25.4727
1616525530.875	2.615	26.6292	25.4728
1616525540.874	2.615	26.6363	25.4761
1616525550.875	2.615	26.6398	25.4772
1616525560.875	2.615	26.6388	25.4746
1616525570.875	2.615	26.6258	25.4694
1616525580.875	2.615	26.6228	25.4675
1616525590.875	2.615	26.6215	25.4626
1616525600.869	2.620	26.6352	25.4620
1616525610.880	2.620	26.6322	25.4625
1616525620.870	2.620	26.6278	25.4691
1616525630.874	2.615	26.6341	25.4660
1616525640.875	2.615	26.6397	25.4634
1616525650.875	2.615	26.6339	25.4617
1616525660.874	2.615	26.6365	25.4607
1616525670.870	2.620	26.6382	25.4599
1616525680.876	2.615	26.6332	25.4626
1616525690.872	2.615	26.6318	25.4637
1616525700.871	2.621	26.6221	25.4625
1616525710.872	2.615	26.6193	25.4624
1616525720.870	2.620	26.6177	25.4631
1616525730.874	2.615	26.6152	25.4631
1616525740.870	2.620	26.6170	25.4641
1616525750.870	2.620	26.6099	25.4640
1616525760.876	2.615	26.6015	25.4650
1616525770.874	2.615	26.5970	25.4618
1616525780.869	2.620	26.6098	25.4601
1616525790.869	2.620	26.6255	25.4614
1616525800.870	2.620	26.6266	25.4644
1616525810.869	2.620	26.6247	25.4629
1616525820.881	2.620	26.6394	25.4652
1616525830.870	2.620	26.6485	25.4641
1616525840.875	2.615	26.6564	25.4646
1616525850.876	2.615	26.6484	25.4641
1616525860.873	2.615	26.6348	25.4639
1616525870.869	2.620	26.6352	25.4656
1616525880.870	2.620	26.6408	25.4664
1616525890.870	2.620	26.6365	25.4680
1616525900.876	2.615	26.6284	25.4678
1616525910.874	2.615	26.6197	25.4749
1616525920.870	2.620	26.6311	25.4710
1616525930.874	2.615	26.6428	25.4686
1616525940.870	2.620	26.6443	25.4657
1616525950.874	2.615	26.6388	25.4624
1616525960.870	2.620	26.6427	25.4662
1616525970.875	2.615	26.6495	25.4692
1616525980.881	2.620	26.6419	25.4688
1616525990.869	2.620	26.6402	25.4680
1616526000.869	2.620	26.6353	25.4671
1616526010.882	2.620	26.6428	25.4684
1616526020.871	2.620	26.6389	25.4665
1616526030.875	2.615	26.6442	25.4676
1616526040.874	2.615	26.6476	25.4669
1616526050.876	2.615	26.6495	25.4700
1616526060.873	2.615	26.6487	25.4668
1616526070.870	2.620	26.6601	25.4665
1616526080.875	2.615	26.6603	25.4658
1616526090.875	2.615	26.6628	25.4630
1616526100.876	2.615	26.6690	25.4622
1616526110.873	2.615	26.6650	25.4604
1616526120.870	2.620	26.6503	25.4601
1616526130.875	2.615	26.6390	25.4653
1616526140.881	2.620	26.6365	25.4641
1616526150.870	2.620	26.6313	25.4614
1616526160.875	2.615	26.6330	25.4603
1616526170.875	2.615	26.6206	25.4594
1616526180.874	2.615	26.6217	25.4596
1616526190.877	2.615	26.6329	25.4624
1616526200.873	2.615	26.6300	25.4705
1616526210.871	2.620	26.6260	25.4691
1616526220.873	2.615	26.6258	25.4681
1616526230.870	2.621	26.6293	25.4727
1616526240.873	2.615	26.6291	25.4767
1616526250.882	2.620	26.6254	25.4727
1616526260.871	2.620	26.6240	25.4656
1616526270.874	2.615	26.6163	25.4644
1616526280.875	2.615	26.6138	25.4631
1616526290.874	2.615	26.6024	25.4616
1616526300.872	2.621	26.6023	25.4633
1616526310.872	2.615	26.5979	25.4691
1616526320.869	2.620	26.6027	25.4652
1616526330.875	2.615	26.6025	25.4622
1616526340.880	2.622	26.6056	25.4630
1616526350.872	2.621	26.6178	25.4630
1616526360.872	2.615	26.6236	25.4636
1616526370.870	2.620	26.6159	25.4620
1616526380.881	2.620	26.6178	25.4634
1616526390.870	2.620	26.6146	25.4636
1616526400.874	2.615	26.6123	25.4620
1616526410.876	2.615	26.6197	25.4654
1616526420.875	2.615	26.6284	25.4653
1616526430.875	2.615	26.6235	25.4643
1616526440.874	2.615	26.6220	25.4638
1616526450.870	2.620	26.6307	25.4660
1616526460.874	2.615	26.6277	25.4658
1616526470.881	2.620	26.6322	25.4655
1616526480.870	2.620	26.6430	25.4660
1616526490.875	2.615	26.6425	25.4649
1616526500.873	2.615	26.6220	25.4652
1616526510.871	2.620	26.6178	25.4705
1616526520.874	2.615	26.6191	25.4728
1616526530.875	2.615	26.6106	25.4730
1616526540.875	2.615	26.6152	25.4682
1616526550.877	2.615	26.6204	25.4667
1616526560.872	2.615	26.6128	25.4670
1616526570.871	2.621	26.6159	25.4710
1616526580.873	2.615	26.6279	25.4659
1616526590.869	2.620	26.6322	25.4635
1616526600.881	2.620	26.6334	25.4613
1616526610.870	2.620	26.6317	25.4674
1616526620.875	2.615	26.6271	25.4653
1616526630.874	2.615	26.6205	25.4627
1616526640.882	2.620	26.6250	25.4635
1616526650.870	2.620	26.6264	25.4631
1616526660.869	2.620	26.6160	25.4627
1616526670.870	2.620	26.6015	25.4607
1616526680.873	2.615	26.6097	25.4688
1616526690.870	2.620	26.6065	25.4660
1616526700.876	2.615	26.6114	25.4641
1616526710.873	2.615	26.6096	25.4628
1616526720.872	2.620	26.6109	25.4651
1616526730.874	2.615	26.6213	25.4638
1616526740.882	2.620	26.6182	25.4632
1616526750.870	2.620	26.6206	25.4616
1616526760.869	2.620	26.6100	25.4620
1616526770.869	2.620	26.6120	25.4604
1616526780.882	2.620	26.6161	25.4609
1616526790.872	2.620	26.6125	25.4621
1616526800.873	2.615	26.6130	25.4605
1616526810.871	2.620	26.6203	25.4612
1616526820.875	2.615	26.6332	25.4619
1616526830.874	2.615	26.6284	25.4619
1616526840.870	2.620	26.6204	25.4705
1616526850.875	2.615	26.6210	25.4665
1616526860.873	2.615	26.6200	25.4659
1616526870.871	2.620	26.6156	25.4658
1616526880.873	2.615	26.6150	25.4634
1616526890.871	2.620	26.6290	25.4627
1616526900.872	2.615	26.6200	25.4641
1616526910.871	2.620	26.6168	25.4650
1616526920.874	2.616	26.6120	25.4707
1616526930.870	2.620	26.6154	25.4657
1616526940.875	2.615	26.6123	25.4635
1616526950.881	2.620	26.6134	25.4626
1616526960.872	2.621	26.6162	25.4629
1616526970.873	2.615	26.6216	25.4621
1616526980.870	2.620	26.6173	25.4593
1616526990.870	2.620	26.6055	25.4606
1616527000.870	2.620	26.6103	25.4601
1616527010.874	2.615	26.6206	25.4619
1616527020.875	2.615	26.6261	25.4618
1616527030.875	2.615	26.6196	25.4627
1616527040.874	2.615	26.6113	25.4626
1616527050.871	2.620	26.6074	25.4626
1616527060.875	2.616	26.6024	25.4624
1616527070.873	2.615	26.6045	25.4639
1616527080.871	2.620	26.6094	25.4658
1616527090.875	2.615	26.6072	25.4626
1616527100.874	2.615	26.6094	25.4619
1616527110.869	2.620	26.6075	25.4655
1616527120.882	2.620	26.6140	25.4672
1616527130.870	2.620	26.6296	25.4683
1616527140.874	2.615	26.6251	25.4673
1616527150.869	2.620	26.6230	25.4682
1616527160.882	2.620	26.6169	25.4651
1616527170.870	2.620	26.6149	25.4659
1616527180.875	2.615	26.6201	25.4645
1616527190.875	2.615	26.6112	25.4644
1616527200.875	2.615	26.5872	25.4660
1616527210.875	2.615	26.5768	25.4652
1616527220.876	2.615	26.5897	25.4636
1616527230.874	2.615	26.5944	25.4613
1616527240.881	2.620	26.5892	25.4694
1616527250.870	2.620	26.5811	25.4685
1616527260.875	2.615	26.5836	25.4644
1616527270.873	2.615	26.5879	25.4645
1616527280.870	2.620	26.5842	25.4620
1616527290.869	2.620	26.5877	25.4625
1616527300.870	2.620	26.5920	25.4629
1616527310.873	2.615	26.5919	25.4616
1616527320.870	2.619	26.5903	25.4617
1616527330.871	2.620	26.5794	25.4608
1616527340.875	2.615	26.5742	25.4619
1616527350.880	2.620	26.5829	25.4615
1616527360.870	2.620	26.5835	25.4642
1616527370.875	2.615	26.5846	25.4706
1616527380.875	2.615	26.5849	25.4681
1616527390.874	2.615	26.5854	25.4663
1616527400.882	2.620	26.5833	25.4654
1616527410.869	2.620	26.5792	25.4709
1616527420.875	2.615	26.5766	25.4646
1616527430.873	2.615	26.5791	25.4681
1616527440.872	2.621	26.5799	25.4638
1616527450.871	2.615	26.5836	25.4607
1616527460.870	2.620	26.5868	25.4570
1616527470.870	2.620	26.5866	25.4590
1616527480.870	2.620	26.5869	25.4662
1616527490.875	2.615	26.5878	25.4614
1616527500.874	2.615	26.5794	25.4671
1616527510.870	2.620	26.5777	25.4672
1616527520.881	2.620	26.5675	25.4706
1616527530.870	2.620	26.5603	25.4638
1616527540.874	2.615	26.5697	25.4621
1616527550.869	2.620	26.5781	25.4674
1616527560.870	2.620	26.5809	25.4679
1616527570.875	2.615	26.5670	25.4639
1616527580.869	2.620	26.5634	25.4626
1616527590.876	2.615	26.5772	25.4589
1616527600.873	2.615	26.5790	25.4566
1616527610.882	2.620	26.5840	25.4544
1616527620.869	2.620	26.5830	25.4572
1616527630.876	2.615	26.5803	25.4614
1616527640.876	2.615	26.5754	25.4661
1616527650.873	2.615	26.5830	25.4645
1616527660.870	2.620	26.5866	25.4634
1616527670.875	2.615	26.5953	25.4599
1616527680.875	2.615	26.5918	25.4589
